dc_identifier_s,dc_title_s,dc_description_s,dc_creator_sm,dc_publisher_sm,dc_rights_s,dct_provenance_s,dct_references_s,layer_id_s,layer_slug_s,layer_geom_type_s,layer_modified_dt,dc_format_s,dc_language_s,dc_type_s,dc_subject_sm,dct_isPartOf_sm,dct_issued_s,dct_temporal_sm,dct_spatial_sm,solr_geom,centroid_s,solr_year_i
04700599-8e7a-41f1-bc06-be6d97301f7d,"Underground Storage Tanks: Indiana, 2015","UST_IDEM_IN is a point shapefile that contains regulated underground storage tank locations (including leaking underground storage tanks) in Indiana, provided by personnel of Indiana Department of Environmental Management, Office of Land Quality (IDEM, OLQ) as of August 16, 2002 and subsequently updated on January 14, 2003, July 11, 2003, June 3, 2004, January 4, 2005, April 25, 2005, July 27, 2006, January 24, 2007, June 4, 2009, April 16, 2010, June 25, 2013, and February 25, 2015. The data set provided by IDEM was in an Esri geodatabase format and the feature class was named UST_SITES. UST_IDEM_IN is attributed with facility identifications, federal identification numbers, an attribute delineating which tanks are leaking, and addresses. Facility information and locational coordinates for state programs were provided by the Underground Tank Group within the Office of Land Quality, Indiana Department of Environmental Management. The following is excerpted from the metadata provided by IDEM, OLQ for the source shapefile named UST_SITES: The Underground Storage Tank (UST) program is responsible for registering all regulated underground storage tanks and assures that all regulated underground storage tanks meet Indiana's requirements for release detection, spill and overflow prevention and corrosion protection, and to insure that tanks not meeting those requirements are properly closed. The UST program also assures that these protection systems are operated and maintained properly. Regulated underground storage tanks are those USTs that have 10% or more of the tank and piping buried beneath the ground and contain a regulated substance, which includes either petroleum products or hazardous substances. Trained staff then went into the field and collected GPS information at managed sites as part of the daily inspection/management process. This information was then brought back to the office, processed, and QA/AC'd before being deposited in acentral archive.","[u'Indiana Department of Environmental Management, Office of Land Quality']","[u'Indiana Department of Environmental Management, Office of Land Quality']",Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Environment/Storage_Tanks_Underground.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Environment/Storage_Tanks_Underground/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/04700599-8e7a-41f1-bc06-be6d97301f7d/formatters/xml""}",,04700599-8e7a-41f1-bc06-be6d97301f7d,Point,2017-12-27T20:51:06Z,Shapefile,English,Dataset,"[u'Environment', u'Hydrology']",IndianaMAP,2/25/15,2015,"[u'Indiana, United States']","ENVELOPE(-88.011094, -84.7377, 41.767865, 37.821575)","39.79472,-86.374397",2015
d9cbaad2-000a-40a2-84b1-1b29600e730e,"Hospitals and Rural Health Clinics: Indiana, 2007","HOSPITALS_CLINICS_ISDH_IN is a point shapefile showing the locations of 160 hospitals included in a Hospital Directory that appears on a Web page of the Indiana State Department of Health (ISDH) (http://www.indiana.gov/isdh/regsvcs/acc/hospital/wdirhos.htm), as well as the locations of 55 rural health clinics included in a Rural Health Care Clinic Directory that appears on the ISDH Web site (http://www.in.gov/isdh/regsvcs/acc/rhcdir/wdirrhc.htm). Using street addresses from the directory, a shapefile was created using the Geocoding tool in ESRI ArcMap 9.2 and street information licensed from Tele Atlas, Dynamap 2000 v. 17.0. On May 11, 2009, at the request of a user, the location of","[u'Denver Harper (Data processor)', u'Chris Dintaman (Data processor)', u'Indiana State Department of Health (ISDH) (Data source)', u'Indiana Geological Survey (Data processor)']",[u'Indiana Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Infrastructure/Critical_Facilities_ISDH_Hospitals_Rural_Health_Clinics.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Infrastructure/Critical_Facilities_ISDH_Hospitals_Rural_Health_Clinics/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/d9cbaad2-000a-40a2-84b1-1b29600e730e/formatters/xml""}",,d9cbaad2-000a-40a2-84b1-1b29600e730e,Point,2017-12-27T20:51:03Z,Shapefile,English,Dataset,"[u'Health', u'Hospitals']",IndianaMAP,5/16/07,2007,"[u'Indiana, United States', u'Tippecano County, Indiana, United States', u'Wabash River, Indiana, United States']","ENVELOPE(-88.1607, -84.6882, 41.7753, 37.7554)","39.76535,-86.42445",2007
b4bda0da-6f9d-4ac1-acc8-1ea1c73f224d,"Streams, Rivers, Canals, Ditches, Artificial Paths, Coastlines, Connectors, and Pipelines in Watersheds: Indiana, 2015","HYDROGRAPHY_LOCALRES_FLOWLINE_NHD_IN.SHP is a line shapefile that contains streams, rivers, canals, ditches, artificial paths, coastlines, connectors and pipelines in watersheds in and around Indiana. HYDROGRAPHY_LOCALRES_FLOWLINE_NHD_USGS.SHP is derived from the local-resolution version of the National Hydrography Dataset (NHD), and is current as of August 6, 2015. PLEASE NOTE - New stream/river features added as part of this project (i.e., not in the predecessor high-resolution NHD) were not assigned an FCode of perennial, intermittent or ephemeral. They will have a generic Stream/River FCode (46000). Water may or may not be present outside of rain events and may or may not exhibit channelization typically associated with streams. This dataset is currently incomplete but includes data for the following twenty-nine HUC08 subbasins in Indiana: Auglaize (0410007), Blue-Sinking (05140104), Driftwood (05120204), Eel (05120104), Eel (05120203), Flatrock-Haw (05120205), Iroquois (07120002), Lower East Fork White (05120208), Lower Great Miami (05080002), Lower Ohio-Little Pigeon (05140201), Lower Wabash (05120113), Lower White (05120202), Middle Wabash-Busseron (05120111), Middle Wabash-Deer (05120105), Mississinewa (05120103), Muscatatuck (05120207), Patoka (05120209), Salamonie (05120102), St. Joseph (04050001), St. Joseph-Maumee (04100003), St. Marys (04100004), Sugar (05120110), Upper East Fork White (05120206), Upper Great Miami (05080001), Upper Maumee (04100005), Upper White (05120201), Vermillion (05120109), Whitewater (05080003), Wildcat (05120107). The following is excerpted from metadata provided by the USGS for the local-resolution NHD feature class named NHD_LOCALRES_FLOWLINE_IN: The National Hydrography Dataset (NHD) is a feature-based database that interconnects and uniquely identifies the stream segments or reaches that make up the nation's surface water drainage system. NHD data was originally developed at 1:100,000-scale and exists at that scale for the whole country. This high-resolution NHD, generally developed at 1:24,000/1:12,000 scale, adds detail to the original 1:100,000-scale NHD. (Data for Alaska, Puerto Rico and the Virgin Islands was developed at high-resolution, not 1:100,000 scale.) Local resolution NHD is being developed where partners and data exist. The NHD contains reach codes for networked features, flow direction, names, and centerline representations for areal water bodies. Reaches are also defined on waterbodies and the approximate shorelines of the Great Lakes, the Atlantic and Pacific Oceans and the Gulf of Mexico. The NHD also incorporates the National Spatial Data Infrastructure framework criteria established by the Federal Geographic Data Committee.","[u'U.S. Geological Survey and the U.S. Environmental Protection Agency (Data author)', u'Indiana Department of Natural Resources (Data provider)', u'Chris Dintaman (Data processor)', u'Indiana Geographic Information Office (Data provider)', u'Indiana Geological Survey (Data processor)']",[u'United States Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Hydrology/Water_Bodies_Streams.zip"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/b4bda0da-6f9d-4ac1-acc8-1ea1c73f224d/formatters/xml""}",,b4bda0da-6f9d-4ac1-acc8-1ea1c73f224d,Line,2017-12-27T20:50:49Z,Shapefile,English,Dataset,"[u'Inland Waters', u'Environment', u'Watersheds']",IndianaMAP,8/4/15,2015,"[u'Indiana, United States']","ENVELOPE(-88.850107, -83.561901, 46.102346, 37.12968)","41.616013,-86.206004",2015
66bc68f1-3c43-40fb-b85c-35efd9eb58b0,"Crops for 2002, Derived from National Agricultural Statistics Service: Indiana, 2003","The following is excerpted from the metadata provided by NASS (USDA) for the source data set IN02NASS.TIF: The USDA-NASS 2002 Indiana Cropland Data Layer is a raster, geo-referenced, categorized land cover data layer produced using satellite imagery from the Thematic Mapper (TM) instrument on Landsat 5 and the Enhanced Thematic Mapper (ETM+) on Landsat 7. The imagery was collected between the dates of April 25, 2002 and September 7, 2002. The approximate scale is 1:100,000 with a ground resolution of 30 meters by 30 meters. The Indiana data layer is aggregated to 13 standardized categories for display purposes with the emphasis being agricultural land cover. This is part of an annual series in which several states are categorized annually based on the extensive field observations collected during the annual NASS June Agricultural Survey. However, no farmer reported data is included or derivable on the Cropland Data Layer CD-ROM.","[u'United States Department of Agriculture (USDA), National Agricultural Statistics Service (NASS), Research and Development Division, Geospatial Information Branch, Spatial Analysis Research Section (SARS)']","[u'United States Department of Agriculture (USDA), National Agriculture Statistics Service (NASS)']",Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Environment/Crops_2002.zip"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/66bc68f1-3c43-40fb-b85c-35efd9eb58b0/formatters/xml""}",,66bc68f1-3c43-40fb-b85c-35efd9eb58b0,Raster,2017-12-27T20:51:04Z,GeoTIFF,English,Dataset,"[u'Farming', u'Agriculture']",IndianaMAP,3/12/03,2002,"[u'Indiana, United States']","ENVELOPE(-88.1614, -84.8183, 41.7753, 37.7553)","39.7653,-86.48985",2003
92c650fe-0e8e-41e6-9e9f-671a93920d66,"Superfund Program Facilities: Indiana, 2015","SUPERFUND_IDEM_IN is a point shapefile that contains GPS-located Superfund Program facility locations in Indiana, provided by personnel of Indiana Department of Environmental Management, Office of Land Quality (IDEM, OLQ) as of August 16, 2002 and subsequently updated on January 14, 2003, July 11, 2003, June 3, 2004, January 4, 2005, April 25, 2005, July 27, 2006, January 24, 2007, June 4, 2009, April 16, 2010, June 25, 2013, and February 25, 2015. The data set provided by IDEM was in an Esri geodatabase format and the feature class was named SUPERFUND. SUPERFUND_IDEM_IN is attributed with facility identifications, federal identification numbers, and addresses. Facility information and locational coordinates for state programs were provided by the Federal Cleanup, Superfund, & NRDA section, Office of Land Quality, Indiana Department of Environmental Management. The following is excerpted from the metadata provided by IDEM, OLQ for the source shapefile SUPERFUND: This project is the first phase in the creation of a base locational data set to establish Geographic Information Systems as an integral part of data management for the Superfund program. Envrionmental Project Managers were trained in techniques and proper use of Global Positioning Systems. Trained staff then went into the field and collected GPS information at managed sites. This information was then brought back to the office, processed, and QA/QC'd before being deposited in a central archive.","[u'Indiana Department of Environmental Management, Office of Land Quality']","[u'Indiana Department of Environmental Management, Office of Land Quality']",Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Environment/Remediation_Superfund_Sites.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Environment/Remediation_Superfund_Sites/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/92c650fe-0e8e-41e6-9e9f-671a93920d66/formatters/xml""}",,92c650fe-0e8e-41e6-9e9f-671a93920d66,Point,2017-12-27T20:51:07Z,Shapefile,English,Dataset,"[u'Environment', u'Pollution']",IndianaMAP,2/23/15,2015,"[u'Indiana, United States', u'West Lafayette, Indiana, United States']","ENVELOPE(-87.523572, -85.053059, 41.72369, 38.677804)","40.200747,-86.2883155",2015
11b1ef8f-eb49-4d61-b372-5d3f015a0c79,"Index to U.S. Geological Survey Streamflow Gauging Stations: Indiana, 2008",STREAMFLOW_GAUGING_STATIONS_USGS_IN is a point shapefile intended for use as a layer in geographic information systems software. It shows the approximate locations of 179 streamflow gauges maintained by the United States Geological Survey (USGS) in Indiana. The gauges are part of a real-time national streamflow network.,"[u'Indiana Geological Survey (Data processor)', u'United States Geological Survey (Data originator)', u'Nathan Eaton (Data compiler)']",[u'Indiana Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Hydrology/Monitoring_Streamflow_Gauges.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Hydrology/Monitoring_Streamflow_Gauges/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/11b1ef8f-eb49-4d61-b372-5d3f015a0c79/formatters/xml""}",,11b1ef8f-eb49-4d61-b372-5d3f015a0c79,Point,2017-12-27T20:50:54Z,Shapefile,English,Dataset,"[u'Environment', u'Inland Waters', u'Climatology, Meteorology and Atmosphere', u'Hydrology']",IndianaMAP,8/30/08,2008,"[u'Indiana, United States']","ENVELOPE(-87.992433, -84.896876, 41.75776, 37.883067)","39.8204135,-86.4446545",2008
9c5e7945-0b88-405c-a837-67e28b64fdb7,"Liquefaction Potential of Materials: Indiana, 2011","EARTHQUAKE_LIQUEFACTION_POTENTIAL_MM81_IN is a polygon shapefile that shows highly generalized categories (low, moderate, and high) of liquefaction potential, based on soil classes of the National Earthquake Hazards Reduction Program (NEHRP). Low liquefaction potential includes NEHRP Soil Class B (consisting of rock: sandstone, limestone, shale). Moderate liquefaction potential includes NEHRP Soil Class C (hard or stiff soil, or gravel) and part of NEHRP Soil Class D (stiff soil, stiff clay, and some gravel). High liquefaction potential includes parts of NEHRP Soil Class D (stiff soil, stiff clay, and some gravel), and all of NEHRP Soil Class E (soft soil and soft to medium clay) and F (lake and river deposits of sand and mud). The following is excerpted from Indiana Geological Survey Miscellaneous Map 81: Liquefaction is a common ground-failure hazard associated with earthquakes. It is defined as the sudden and temporary loss of strength of a water-saturated sediment. This could result in the structural failure of buildings, bridges, and other structures.","[u'Denver Harper (GIS compiler', u'Mary Parke (Data compiler)', u'John Steinmetz (Data compiler)', u'Walter E. Gray (Data compiler)', u'Indiana Geological Survey', u'Kim Sowder (GIS compiler)', u'Chris Dintaman (GIS compiler)']",[u'Indiana Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Geology/Seismic_Earthquake_Liquefaction_Potential.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Geology/Seismic_Earthquake_Liquefaction_Potential/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/9c5e7945-0b88-405c-a837-67e28b64fdb7/formatters/xml""}",,9c5e7945-0b88-405c-a837-67e28b64fdb7,Polygon,2017-12-27T20:50:46Z,Shapefile,English,Dataset,"[u'Geoscientific Information', u'Geology', u'Earthquakes']",IndianaMAP,3/21/11,2010,"[u'Indiana, United States', u'West Lafayette, Indiana, United States']","ENVELOPE(-88.1607, -84.6882, 41.7753, 37.7554)","39.76535,-86.42445",2011
fb540151-4b8a-44ed-bb83-9ad73c783a47,"Crops for 2010, Derived from National Agricultural Statistics Service: Indiana, 2013","The following is excerpted from the metadata provided by NASS (USDA) for the source data set CDL_2010_CLIP_20131230093625_434373848.tif: The USDA, NASS Cropland Data Layer (CDL) is a raster, geo-referenced, crop-specific land cover data layer. The 2010 CDL has a ground resolution of 30 meters. The CDL is produced using satellite imagery from the Landsat 5 TM sensor, Landsat 7 ETM+ sensor, and the Indian Remote Sensing RESOURCESAT-1 (IRS-P6) Advanced Wide Field Sensor (AWiFS) collected during the current growing season. Some CDL states used additional satellite imagery and ancillary inputs to supplement and improve the classification. These additional sources can include the United States Geological Survey (USGS) National Elevation Dataset (NED), the USGS National Land Cover Database 2001 (NLCD 2001), and the National Aeronautics and Space Administration (NASA) Moderate Resolution Imaging Spectroradiometer (MODIS) 250 meter 16 day Normalized Difference Vegetation Index (NDVI) composites. Agricultural training and validation data are derived from the Farm Service Agency (FSA) Common Land Unit (CLU) Program. The NLCD 2001 is used as non-agricultural training and validation data. Please refer to the 'Supplemental_Information' Section of this metadata file for a complete list of all imagery, ancillary data, and training/validation data used to generate this state's CDL. The strength and emphasis of the CDL is agricultural land cover. Please note that no farmer reported data are derivable from the Cropland Data Layer.","[u'United States Department of Agriculture (USDA), National Agricultural Statistics Service (NASS), Research and Development Division, Geospatial Information Branch, Spatial Analysis Research Section (SARS)']","[u'United States Department of Agriculture (USDA), National Agriculture Statistics Service (NASS)']",Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Environment/Crops_2010.zip"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/fb540151-4b8a-44ed-bb83-9ad73c783a47/formatters/xml""}",,fb540151-4b8a-44ed-bb83-9ad73c783a47,Raster,2017-12-27T20:50:46Z,GeoTIFF,English,Dataset,"[u'Imagery and Base Maps', u'Environment', u'Farming', u'Agriculture']",IndianaMAP,12/28/13,2010,"[u'Indiana, United States']","ENVELOPE(-88.162022, -84.688498, 41.781483, 37.755526)","39.7685045,-86.42526",2013
8d658e56-fc51-4b88-9c2e-02ec63de1136,"Underground Coal Mines: Indiana, 2010","COAL_UND, the predecessor of COAL_MINE_UNDERGROUND_IN, is a polygon-based ESRI ArcView shapefile that shows the location and extent of underground coal mines in the coal region of west-central and southwestern Indiana. COAL_UND includes locations for all documented underground mines that operated in Indiana since the late 1800s. COAL_MINE_UNDERGROUND_IN is attributed to allow the mine polygons to be differentiated based on mine type, mine number, source information, and dates of mining.","[u'Becky Meyer (Data compiler)', u'Licia Weber (Data compiler)', u'Nathan Eaton (GIS compiler)', u'Indiana Geological Survey', u'Paul Irwin (GIS compiler)']",[u'Indiana Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Geology/Coal_Mines_Underground.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Geology/Coal_Mines_Underground/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/8d658e56-fc51-4b88-9c2e-02ec63de1136/formatters/xml""}",,8d658e56-fc51-4b88-9c2e-02ec63de1136,Polygon,2017-12-27T20:51:04Z,Shapefile,English,Dataset,"[u'Geoscientific Information', u'Economy', u'Geology', u'Coal']",IndianaMAP,8/24/10,2009,"[u'Indiana, United States']","ENVELOPE(-88.0651, -86.5858, 40.0278, 37.839)","38.9334,-87.32545",2010
9a0e1762-d247-4fed-ac3d-c67da1315cfb,"Indiana Census Tracts: Indiana, 2000","Census_Tracts_TIGER00_IN contains locations for all Indiana tracts identified by the US Bureau of the Census. Data is from U.S. Department of Commerce, U.S. Census Bureau, Census 2000 Tiger Line Files and SF1 tables.","[u'(creation): U.S. Department of Commerce, U.S. Census Bureau', u'(compilation): Bernardin, Lochmueller and Associates', u'(conversion): AVENZA Systems Inc.']","[u'Bernardin, Lochmueller and Associates']",Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Demographics/Census_Tracts.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Demographics/Census_Tracts/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/9a0e1762-d247-4fed-ac3d-c67da1315cfb/formatters/xml""}",,9a0e1762-d247-4fed-ac3d-c67da1315cfb,Polygon,2017-12-27T20:51:20Z,Shapefile,English,Dataset,"[u'Society', u'Census', u'Demographics']",IndianaMAP,9/30/02,2002,"[u'Indiana, United States', u'West Lafayette, Indiana, United States']","ENVELOPE(-88.0114746094, -84.8254394531, 41.7549221677, 37.7880813841)","39.7715017759,-86.41845703125",2002
