uuid,dc_identifier_s,dc_title_s,dc_description_s,dc_creator_sm,dc_publisher_sm,dc_rights_s,dct_provenance_s,dct_references_s,layer_id_s,layer_slug_s,layer_geom_type_s,layer_modified_dt,dc_format_s,dc_language_s,dc_type_s,dc_subject_sm,dct_isPartOf_sm,dct_issued_s,dct_temporal_sm,dct_spatial_sm,solr_geom,centroid_s,solr_year_i
2e3b866a-b992-4a69-9951-97834fd05878,2e3b866a-b992-4a69-9951-97834fd05878,"Hillshade Image, Wisconsin 2001",This TIF-format Hillshade image is a raster representation of land elevation of Wisconsin. This Hillshade ('hlximag30.tif') is derived from the 7.5-minute (30-meter) DEMs published by the US Geological Survey (USGS).,[u'Wisconsin Department of Natural Resources'],[u'Wisconsin Department of Natural Resources'],Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_Hillshade30m_2001.zip"",""http://schema.org/url"":""ftp://dnrftp01.wi.gov/geodata/elevation/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/2e3b866a-b992-4a69-9951-97834fd05878/formatters/xml""}",2e3b866a-b992-4a69-9951-97834fd05878,2e3b866a-b992-4a69-9951-97834fd05878,Raster,2017-12-07T17:19:57Z,GeoTIFF,English,Dataset,"[u'Elevation', u'Environment', u'Relief', u'Dem', u'Hillshade', u'Hypsography']",Wisconsin Department of Natural Resources (DNR),12/24/00,2001,"[u'Wisconsin, United States']","ENVELOPE(-93.032408, -86.597317, 47.12809, 42.410216)","44.769153,-89.8148625",2001
16645275-9074-431E-A45B-0630E864472A,16645275-9074-431E-A45B-0630E864472A,"WROC Imagery Wisconsin, 2010","Ayres Associates was contracted through the NCWRPC for the creation of 18' RGB DOQQs from the native resolution digital orthophotography from the 2010 Wisconsin Regional Orthoimagery Consortium (WROC) imagery program. Flights occurred in the Spring of 2010 for the entire State of Wisconsin, resulting in a 'leaf-off' aerial photo product. Re-flights were necessary for the eastern 4 mi of Columbia Co., parts of NW Oconto Co, and the south half of Lincoln Co. during the spring of 2011. Please refer to http://www.ncwrpc.org/WROC/Delivery_Specs.pdf for WROC program information",[u'Wisconsin Regional Orthoimagery Consortium'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""ftp://ftp.ssec.wisc.edu/pub/wisconsinview/WROC_2010/"",""http://schema.org/url"":""http://www.wisconsinview.org/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/16645275-9074-431E-A45B-0630E864472A/formatters/xml""}",16645275-9074-431E-A45B-0630E864472A,16645275-9074-431E-A45B-0630E864472A,Raster,2017-12-07T17:19:53Z,Raster Dataset,English,Dataset,"[u'Imagery and Base Maps', u'Orthophotography', u'Wisconsin Regional Orthoimagery Consortium', u'Aerial imagery']",Wisconsin Imagery/LiDAR,10/25/11,2011,"[u'Wisconsin, United States']","ENVELOPE(-92.955616, -86.666103, 47.08304, 42.456895)","44.7699675,-89.8108595",2011
656ed665-63fc-45d9-96ab-465a07488f91,656ed665-63fc-45d9-96ab-465a07488f91,"Hydrography (1:24,000), Wisconsin 2015","Wisconsin Department of Natural Resources1;24,000 scale hydrography (statewide) consists of a series of features including: (1) Natural bounding lines of hydro waterbody features; (2)Linear features representing streams, rivers and artificial flow through water; (3) Linear features representing streams, rivers and artificial flow through water that have been assigned a Waterbody Identification Code - WBIC; (4) Junction point features used to establish point attributes on a network; (5)Linear features including channel in water, original water course, fish hatchery walls, etc.; (6) Hydrological Point data such as springs, etc.; (7) Water features such as Lakes, Reservoirs, Wide Streams and River, and Unspecified Open Water features.; (8) Water features such as Lakes, Reservoirs, Wide Streams and River, and Unspecified Open Water features that have been assigned a Waterbody Identification Code - WBIC.",[u'Wisconsin Department of Natural Resources'],[u'Wisconsin Department of Natural Resources'],Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_Hydro24K_2015.zip"",""http://schema.org/url"":""ftp://dnrftp01.wi.gov/geodata/hydro_24k/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/656ed665-63fc-45d9-96ab-465a07488f91/formatters/xml""}",656ed665-63fc-45d9-96ab-465a07488f91,656ed665-63fc-45d9-96ab-465a07488f91,Mixed,2017-12-07T17:19:53Z,Geodatabase,English,Dataset,"[u'Inland Waters', u'Hydrography']",Wisconsin Department of Natural Resources (DNR),7/12/15,2015,"[u'Wisconsin, United States']","ENVELOPE(-93.643807, -84.127919, 49.038739, 40.979797)","45.009268,-88.885863",2015
9321C137-6FEA-423E-8F56-9506F2EA19C6,9321C137-6FEA-423E-8F56-9506F2EA19C6,"Original Vegetation Cover Wisconsin, 1800s","This is a polygon shapefile derived from a 1:500,000-scale map showing the original, pre-settlement vegetation cover in Wisconsin. The original vegetation cover data was digitized from a 1976 map created from land survey notes written in the mid-1800s when Wisconsin was first surveyed. Linework representing lakes and other hydrographic areas in other data sets were subsequently merged with the original vegetation cover data set to more closely match the source map.",[u'Wisconsin Department of Natural Resources'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_OrigVeg_Cover_1990.zip"",""http://schema.org/url"":""ftp://dnrftp01.wi.gov/geodata/orig_veg_cover/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/9321C137-6FEA-423E-8F56-9506F2EA19C6/formatters/xml""}",9321C137-6FEA-423E-8F56-9506F2EA19C6,9321C137-6FEA-423E-8F56-9506F2EA19C6,Polygon,2017-12-07T17:20:16Z,Shapefile,English,Dataset,"[u'Environment', u'Vegetation']",Wisconsin Department of Natural Resources (DNR),12/28/89,2011,"[u'Wisconsin, United States']","ENVELOPE(-92.963754, -86.707114, 47.083467, 42.459887)","44.771677,-89.835434",2011
6ba97585-2577-4f21-a794-01bdb2d34462,6ba97585-2577-4f21-a794-01bdb2d34462,"Food Safety, Wisconsin 2016","This feature dataset contains the following feature classes: 'DATCP_BULK_MILK_TANK_OWN', 'DATCP_DAIRY_PLANT', 'DATCP_FOOD_PROCESSING', 'DATCP_FOOD_WAREHOUSE', 'DATCP_MEAT_PLANT', 'DATCP_MILK_PRODUCER', 'DATCP_RETAIL_FOOD_EST', 'DATCP_RETAIL_FOOD_EST_AGT'. It is a feature dataset with the geodatabase, DATCP_FOOD_SAFETY. The date of all feature classes within this dataset is 1/6/16.","[u'Wisconsin Department of Agriculture, Trade, and Consumer Protection']","[u'Wisconsin Department of Agriculture, Trade, and Consumer Protection']",Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_Food_Safety_2016.zip"",""http://schema.org/url"":""ftp://ftp.datcp.state.wi.us/GIS/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/6ba97585-2577-4f21-a794-01bdb2d34462/formatters/xml""}",6ba97585-2577-4f21-a794-01bdb2d34462,6ba97585-2577-4f21-a794-01bdb2d34462,Point,2017-12-07T17:20:00Z,Geodatabase,English,Dataset,"[u'Location', u'Economy', u'Farming', u'Dairy', u'Food', u'Food processing', u'Food safety']","Wisconsin Department of Agriculture, Trade, and Consumer Protection (DATCP)",1/21/16,2016,"[u'Wisconsin, United States']","ENVELOPE(-92.909176, -86.825117, 46.866251, 42.464353)","44.665302,-89.8671465",2016
9c034be4-1e51-4d62-8f0e-14d98555b4ee,9c034be4-1e51-4d62-8f0e-14d98555b4ee,"Forest Fire Protection Areas, Wisconsin 2008",Areas designated in an effort to divide the responsibility of fire suppression within the state. The intensive and extensive areas are at a higher natural risk for fires and the DNR has the statutory responsibility for fire suppression. The distinctions between intensive and extensive areas are defined in Administrative code (NR30).,[u'Wisconsin Department of Natural Resources'],[u'Wisconsin Department of Natural Resources'],Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_FireProtectionAreas_2008.zip"",""http://schema.org/url"":""ftp://dnrftp01.wi.gov/geodata/forestry/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/9c034be4-1e51-4d62-8f0e-14d98555b4ee/formatters/xml""}",9c034be4-1e51-4d62-8f0e-14d98555b4ee,9c034be4-1e51-4d62-8f0e-14d98555b4ee,Polygon,2017-12-07T17:19:55Z,Shapefile,English,Dataset,"[u'Environment', u'Biota', u'Boundaries', u'Forests', u'Forest fires', u'Fire management']",Wisconsin Department of Natural Resources (DNR),5/27/08,2008,"[u'Wisconsin, United States']","ENVELOPE(-92.964436, -86.66623, 47.083195, 42.456931)","44.770063,-89.815333",2008
715db259-a48d-449d-bbc3-0a8def9119e4,715db259-a48d-449d-bbc3-0a8def9119e4,"Proposed NM590 Restrictions, Wisconsin 2015","This feature dataset contains the following feature classes: NM_590_DEPTH_BEDROCK_LT5FT, NM_590_SHALLOW_SILURIAN, NM_590_WELL_BUFF_1000FT, NM_590_WELL_COMPENSATION. It is a feature dataset within the geodatabase DATCP_NM_590_PROPOSED_RESTRICT.","[u'Wisconsin Department of Agriculture, Trade, and Consumer Protection']","[u'Wisconsin Department of Agriculture, Trade, and Consumer Protection']",Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_NM590_2015.zip"",""http://schema.org/url"":""ftp://ftp.datcp.state.wi.us/GIS/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/715db259-a48d-449d-bbc3-0a8def9119e4/formatters/xml""}",715db259-a48d-449d-bbc3-0a8def9119e4,715db259-a48d-449d-bbc3-0a8def9119e4,Mixed,2017-12-07T17:19:55Z,Geodatabase,English,Dataset,"[u'Environment', u'Soils', u'Soil depth']","Wisconsin Department of Agriculture, Trade, and Consumer Protection (DATCP)",3/22/15,2015,"[u'Wisconsin, United States']","ENVELOPE(-92.958007, -86.709145, 47.083061, 42.452347)","44.767704,-89.833576",2015
4DFA561E-9AB4-4074-AE86-22EB7FEF38E5,4DFA561E-9AB4-4074-AE86-22EB7FEF38E5,"Parcels Wisconsin (Statewide), 2015","This is the final deliverable for the Version 1 Statewide Parcel Map Database Project (V1). This feature class represents a comprehensive, spatially referenced collection of parcel geometries as recognized by local-level governments within the state of Wisconsin (aggregated from county level and municipal-level data). See the project interim report for further details on the project, the parcel layer and attributes included. http://www.sco.wisc.edu/images/stories/publications/V2/V1_Parcel_Project_Interim_Report_FINAL_20150630.pdfSchema documentationcan be found here: http://www.sco.wisc.edu/images/stories/publications/V2/V1_Parcels_Schema_Documentation.pdfChange logand known issuescan be found here: http://www.sco.wisc.edu/images/stories/publications/V2/Wisconsin_Statewide_Parcels_Change_Log.pdf",[u'Wisconsin Department of Administration'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_Parcels_2015.zip"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data/"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://mapservices.legis.wisconsin.gov/arcgis/rest/services/WLIP_V1/PARCELS/MapServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/4DFA561E-9AB4-4074-AE86-22EB7FEF38E5/formatters/xml""}",4DFA561E-9AB4-4074-AE86-22EB7FEF38E5,4DFA561E-9AB4-4074-AE86-22EB7FEF38E5,Polygon,2017-12-20T17:50:26Z,Geodatabase,English,Dataset,"[u'Planning and Cadastral', u'Real property', u'Land ownership']",State of Wisconsin,6/27/15,2015,"[u'Wisconsin, United States']","ENVELOPE(-92.955616, -86.666103, 47.08304, 42.456895)","44.7699675,-89.8108595",2015
601B8BD0-110C-428C-BE1C-EE139E8904D3,601B8BD0-110C-428C-BE1C-EE139E8904D3,"NAIP Imagery Wisconsin, 2006","This data set contains imagery from the National Agriculture Imagery Program (NAIP). NAIP acquires digital ortho imagery during the agricultural growing seasons in the continental U.S. A primary goal of the NAIP program is to enable availability of ortho imagery within one year of acquisition. NAIP provides two main products: 1 meter ground sample distance (GSD) ortho imagery rectified to a horizontal accuracy of within +/- 3 meters of reference digital ortho quarter quads (DOQQ's) from the National Digital Ortho Program (NDOP); and, 2 meter GSD ortho imagery rectified to within +/- 10 meters of reference DOQQs. The tiling format of NAIP imagery is based on a 3.75'x 3.75' quarter quadrangle with a 300 meter buffer on all four sides. NAIP quarter quads are formatted to the UTM coordinate system using NAD83. NAIP imagery may contain as much as 10% cloud cover per tile. This file was generated by compressing NAIP quarter quadrangle tiles that cover a county. MrSID (MG3) compression, with mosaic option, was used. Target values for the compression ratio are (15:1) and compression levels(9) are used.Wisconsin 2006 NAIP imagery is 2 meter GSD orthoimagery.",[u'USDA-FSA-APFO'],[u'USDA_FSA_APFO Aerial Photography Field Office'],Public,Wisconsin,"{""http://schema.org/downloadUrl"":""ftp://ftp.ssec.wisc.edu/pub/wisconsinview/NAIP_2006/"",""http://schema.org/url"":""http://www.wisconsinview.org/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/601B8BD0-110C-428C-BE1C-EE139E8904D3/formatters/xml""}",601B8BD0-110C-428C-BE1C-EE139E8904D3,601B8BD0-110C-428C-BE1C-EE139E8904D3,Raster,2017-12-07T17:19:55Z,Raster Dataset,English,Dataset,"[u'Imagery and Base Maps', u'Orthophotography', u'Aerial imagery', u'National Agricultural Imagery Program']",Wisconsin Imagery/LiDAR,10/26/06,2006,"[u'Wisconsin, United States']","ENVELOPE(-92.955616, -86.666103, 47.08304, 42.456895)","44.7699675,-89.8108595",2006
5b7d496e-8dd2-498b-85c2-6d6026a4049d,5b7d496e-8dd2-498b-85c2-6d6026a4049d,"Election Data, Wisconsin 2010",This polygon data layer represents election data by ward for Wisconsin in 2010.,[u'WI Legislative Technology Services Bureau'],[u'WI Legislative Technology Services Bureau'],Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_ElectionData_2010.zip"",""http://schema.org/url"":""http://legis.wisconsin.gov/ltsb/gis/data/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/5b7d496e-8dd2-498b-85c2-6d6026a4049d/formatters/xml""}",5b7d496e-8dd2-498b-85c2-6d6026a4049d,5b7d496e-8dd2-498b-85c2-6d6026a4049d,Polygon,2017-12-07T17:20:17Z,Shapefile,English,Dataset,"[u'Boundaries', u'Voting']",Wisconsin Legislative Technology Services (LTSB),3/3/16,2010,"[u'Wisconsin, United States']","ENVELOPE(-92.964428, -86.6661, 47.083094, 42.456925)","44.7700095,-89.815264",2010
