dc_identifier_s,dc_title_s,dc_description_s,dc_creator_sm,dc_publisher_sm,dc_rights_s,dct_provenance_s,dct_references_s,layer_slug_s,layer_geom_type_s,layer_modified_dt,dc_format_s,dc_language_s,dc_type_s,dc_subject_sm,dct_isPartOf_sm,dct_issued_s,dct_temporal_sm,dct_spatial_sm,solr_geom,centroid_s,solr_year_i
bbdae79c-f794-44d5-b1c9-69c122583e45,"Roads Sawyer County, Wisconsin, 2017","This line data layer represents roads for Sawyer County, Wisconsin in 2017. It is a feature class within the geodatabase, Sawyer_Roads_2017.gdb. [The address range is a linear feature class that contains the high-low, left-right attributes for addresses. This feature class is used for geo coding and may also be used to support dispatching.]",[u'Sawyer County Land Information Office'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Sawyer_Roads_2017.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/bbdae79c-f794-44d5-b1c9-69c122583e45/formatters/xml""}",bbdae79c-f794-44d5-b1c9-69c122583e45,Line,2018-01-04T22:38:30Z,Geodatabase,English,Dataset,"[u'Transportation', u'Roads', u'Streets']",Wisconsin Counties Open Data,9/5/17,2017,"[u'Sawyer County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-91.552224, -90.67458, 46.156689, 45.638085)","45.897387,-91.113402",2017
6887D43D-3AAC-4C28-B245-5E4BB0ABC99D,"Hydro (Line) Green County, Wisconsin 2015","This line data layer represents hydrography lines for Green County, Wisconsin in 2016. It is a feature class within the geodatabase, Green_HydroLine_2016.gdb.",[u'Green County'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Green_HydroLine_2016.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/6887D43D-3AAC-4C28-B245-5E4BB0ABC99D/formatters/xml""}",6887D43D-3AAC-4C28-B245-5E4BB0ABC99D,Line,2018-01-04T22:40:08Z,Geodatabase,English,Dataset,"[u'Inland Waters', u'Hydrography']",Wisconsin Counties Open Data,6/1/16,2015,"[u'Green County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-89.946896, -89.240993, 42.884833, 42.499522)","42.6921775,-89.5939445",2015
e346e468-cb44-422e-98ae-8bf07056301a,"Parcels Winnebago County, Wisconsin, 2017","This is the final deliverable for the Version 3 Statewide Parcel Map Database Project (V3). This feature class represents a comprehensive, spatially referenced collection of parcel geometries as recognized by local-level governments within the State of Wisconsin (the feature class is aggregated from county level and municipal-level data). See the V3 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: http://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and here: http://www.sco.wisc.edu/parcels/data/assets/V3/V3_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Change logand known issuescan be found here: http://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",[u'Wisconsin Department of Administration'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Winnebago_Parcels_2017.zip"",""http://schema.org/url"":""http://www.sco.wisc.edu/parcels/data/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/e346e468-cb44-422e-98ae-8bf07056301a/formatters/xml""}",e346e468-cb44-422e-98ae-8bf07056301a,Polygon,2018-01-04T22:37:34Z,Geodatabase,English,Dataset,"[u'Planning and Cadastral', u'Land ownership', u'Real property']",Wisconsin Counties Open Data,7/31/17,2017,"[u'Winnebago County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-88.893272, -88.362753, 44.249818, 43.889024)","44.069421,-88.6280125",2017
FC49BAB5-9AC2-42D1-A01D-B5C5C3E40ADE,"Parks Brown County, Wisconsin, YE2016","This Polygon data layer represents parks for Brown County, Wisconsin at year-end 2016. It is a feature class within the geodatabase, Brown_Parks_YE2016.gdb.",[u'Brown County Land Information Office'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Brown_Parks_YE2016.zip"",""http://schema.org/url"":""http://www.co.brown.wi.us/departments/?department=85713eda4cdc&subdepartment=89ce08984461"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/FC49BAB5-9AC2-42D1-A01D-B5C5C3E40ADE/formatters/xml""}",FC49BAB5-9AC2-42D1-A01D-B5C5C3E40ADE,Polygon,2018-01-04T22:36:48Z,Geodatabase,English,Dataset,"[u'Society', u'Parks', u'Recreation', u'Open spaces']",Wisconsin Counties Open Data,3/24/17,2016,"[u'Brown County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-88.265462, -87.752736, 44.682098, 44.234505)","44.4583015,-88.009099",2016
D5144D46-47CC-4612-964E-D0BADF4A5595,"Buildings Milwaukee County, Wisconsin, YE2016","This polygon data layer represents buildings for Milwaukee County, Wisconsin in YE2016. It is a feature class within the geodatabase Milwaukee_Buildings_YE2016.",[u'Milwaukee County Land Information Office'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Milwaukee_Buildings_YE2016.zip"",""http://schema.org/url"":""http://county.milwaukee.gov/mclio/geodata.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/D5144D46-47CC-4612-964E-D0BADF4A5595/formatters/xml""}",D5144D46-47CC-4612-964E-D0BADF4A5595,Polygon,2018-01-04T22:40:27Z,Geodatabase,English,Dataset,"[u'Structure', u'Buildings']",Wisconsin Counties Open Data,4/18/17,2016,"[u'Milwaukee County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-88.076852, -87.817516, 43.199771, 42.839709)","43.01974,-87.947184",2016
AC4CE21C-043C-4B9C-817F-50D4A6760076,"Municipalities Calumet County, Wisconsin, 2015","This polygon data layer represents municipalities for Calumet County, Wisconsin in 2015.",[u'Calumet County Land Information'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Calumet_Municipalities_2015.zip"",""http://schema.org/url"":""http://calumetmaps.com/data.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/AC4CE21C-043C-4B9C-817F-50D4A6760076/formatters/xml""}",AC4CE21C-043C-4B9C-817F-50D4A6760076,Polygon,2018-01-04T22:40:12Z,Shapefile,English,Dataset,"[u'Boundaries', u'Cities and towns', u'Civil divisions']",Wisconsin Counties Open Data,1/1/15,2015,"[u'Calumet County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-88.4049, -88.039142, 44.244089, 43.891095)","44.067592,-88.222021",2015
5816681A-E1B0-4793-A284-474C10F4D712,"Addresses Walworth County, Wisconsin, 2017","This point data layer represents address points for Walworth County, Wisconsin in 2017. It is a feature class within the geodatabase, Walworth_Addresses_2017.gdb.[Point Feature Class that represents an address structure.]",[u'Walworth County Land Information Division'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Walworth_Addresses_2017.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/5816681A-E1B0-4793-A284-474C10F4D712/formatters/xml""}",5816681A-E1B0-4793-A284-474C10F4D712,Point,2018-01-04T22:38:45Z,Geodatabase,English,Dataset,"[u'Location', u'Street addresses']",Wisconsin Counties Open Data,6/8/17,2017,"[u'Walworth County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-88.778458, -88.304932, 42.843671, 42.492185)","42.667928,-88.541695",2017
aa9e8371-3bf9-4607-83a7-fb58623afe35,"Zoning Waupaca County, Wisconsin, 2015","This polygon data layer represents zoning for Waupaca County, Wisconsin in 2015. It is a feature class within the geodatabase, Waupaca_Zoning_2015.gdb. [Rural zoning districts for townships that fall under Waupaca County Zoning. Zoning data is tax parcel based.]",[u'Waupaca County Land Information Office'],[u'Waupaca County Land Information Office'],Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Waupaca_Zoning_2015.zip"",""http://schema.org/url"":""http://data.waupacacounty.opendata.arcgis.com/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/aa9e8371-3bf9-4607-83a7-fb58623afe35/formatters/xml""}",aa9e8371-3bf9-4607-83a7-fb58623afe35,Polygon,2018-01-04T22:38:01Z,Geodatabase,English,Dataset,"[u'Planning and Cadastral', u'Zoning']",Wisconsin Counties Open Data,5/12/15,2015,"[u'Waupaca County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-89.227867, -88.605021, 44.680936, 44.24202)","44.461478,-88.916444",2015
3317137A-BBFA-45D3-9482-47054BE0FFCD,"Trails Shawano County, Wisconsin, YE2016","This line data layer represents trails for Shawano County, Wisconsin at year-end 2016. It is a feature class within the geodatabase, Shawano_Trails_YE2016.gdb. [Shawano county Rails-to-Trails trails.]",[u'Shawano County Land Information Office'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Shawano_Trails_YE2016.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/3317137A-BBFA-45D3-9482-47054BE0FFCD/formatters/xml""}",3317137A-BBFA-45D3-9482-47054BE0FFCD,Line,2018-01-04T22:38:55Z,Geodatabase,English,Dataset,"[u'Society', u'Recreation', u'Trails']",Wisconsin Counties Open Data,3/23/17,2016,"[u'Shawano County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-89.229609, -88.231122, 45.030996, 44.584458)","44.807727,-88.7303655",2016
8F9EE5AE-EB4F-4AD1-AFAD-65EF5B03A26B,"Roads Dunn County, Wisconsin, 2017","This line data layer represents roads for Dunn County, Wisconsin in 2017. It is a feature class within the geodatabase Dunn_Roads_2017.gdb.",[u'Dunn County Land Information'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Dunn_Roads_2017.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/8F9EE5AE-EB4F-4AD1-AFAD-65EF5B03A26B/formatters/xml""}",8F9EE5AE-EB4F-4AD1-AFAD-65EF5B03A26B,Line,2018-01-04T22:37:01Z,Geodatabase,English,Dataset,"[u'Transportation', u'Roads', u'Streets']",Wisconsin Counties Open Data,3/27/17,2017,"[u'Dunn County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-92.156887, -91.644518, 45.209656, 44.683526)","44.946591,-91.9007025",2017
