dc_identifier_s,dc_title_s,dc_description_s,dc_rights_s,dc_format_s,dc_language_s,dc_type_s,dc_publisher_sm,dc_subject_sm,dc_publisher_sm__002,dc_creator_sm,dct_provenance_s,dct_references_s,dct_isPartOf_sm,dct_spatial_sm__001|dct_spatial_sm__002|dct_spatial_sm__003|dct_spatial_sm__004|dct_spatial_sm__005|dct_spatial_sm__006|dct_spatial_sm__007|dct_spatial_sm__008|dct_spatial_sm__009|dct_spatial_sm__010,dc_relation_sm,dct_temporal_sm__001,layer_slug_s,layer_geom_type_s,layer_modified_dt,thumbnail_path_ss,centroid_s,solr_geom,solr_year_i
e47a79ee-1795-4282-8d68-cdffbd3f5473,"State of Indiana, base map with highways","Shows major highways and railroads. Scale 1:500,000; Lambert conformal conic projection",Public,JPEG,English,Image,The Survey,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00648"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00648""}",Indiana Historic Maps,"Indiana, United States",http://sws.geonames.org/4921868,1977,e47a79ee-1795-4282-8d68-cdffbd3f5473,Paper Map,2017-12-8T14:39:46Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00648,"39.805,-86.375","ENVELOPE(-88, -84.75, 41.75, 37.86)",1977
373fa401-8e36-4759-9eba-876b386247cd,"A new map of Indiana: exhibiting the counties, townships, cities, villages, and post offices, rail roads, canals, and common roads.","Prime meridian: Washington.; Includes table of population by county. Scale approximately 1:1,013,760.",Public,JPEG,English,Image,E. Mendenhall,,,"Mendenhall,  Edward, cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00641"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00641""}",Indiana Historic Maps,"Indiana, United States",http://sws.geonames.org/4921868,1854,373fa401-8e36-4759-9eba-876b386247cd,Paper Map,2017-12-8T14:39:46Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00641,"39.755,-86.43","ENVELOPE(-88.08, -84.78, 41.75, 37.76)",1854
1a4d131a-949c-4b6a-a35b-2d2bcb73e2c1,Indiana.,"On verso: Area and population of Indiana by counties. Scale approximately 1:1,700,000.",Public,JPEG,English,Image,"Dodd, Mead & Co.",,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00599"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00599""}",Indiana Historic Maps,"Indiana, United States",http://sws.geonames.org/4921868,1902,1a4d131a-949c-4b6a-a35b-2d2bcb73e2c1,Paper Map,2017-12-8T14:39:46Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00599,"39.805,-86.43","ENVELOPE(-88.11, -84.75, 41.75, 37.86)",1902
60547a50-8811-408b-baa9-22bf8fcafa10,County map of Ohio and Indiana,"Prime meridian: top of map is from Greenwich, bottom of map is from Washington.; Hand painted. Scale 1:1,800,000.",Public,JPEG,English,Image,S. Augustus Mitchell,,,"Gamble,  W. H.(William H.), cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00598"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00598""}",Indiana Historic Maps,"Indiana, United States|State of Ohio, Ohio, United States",http://sws.geonames.org/4921868|http://sws.geonames.org/5165418,1870,60547a50-8811-408b-baa9-22bf8fcafa10,Paper Map,2017-12-8T14:39:46Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00598,"39.95,-84.005","ENVELOPE(-87.68, -80.33, 42, 37.9)",1870
679a57c2-a564-4e2e-8b7d-90d4405f963d,Elkhart [Township].,"Shows roads, railroads, section numbers, lakes, rivers, and towns.; ""T. 36 N.R. 6. E.""; Accompanied by: Index of roads, Elkhart Township, Elkhart County, Indiana, 1 sheet ; 56 x 60 cm. Scale approximately 1:19,600.",Public,JPEG,English,Image,publisher not identified,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00591"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00591""}",Indiana Historic Maps,"Elkhart County, Indiana, United States|Indiana, United States",http://sws.geonames.org/4919988|http://sws.geonames.org/4921868,1878,679a57c2-a564-4e2e-8b7d-90d4405f963d,Paper Map,2017-12-8T14:39:47Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00591,"41.555,-85.82","ENVELOPE(-85.88, -85.76, 41.6, 41.51)",1878
09a67eb6-c6f7-46ca-b025-67fcec09ea82,"Van Buren Township, [Monroe County, Indiana]","Pen and ink and black and colored pencil on tracing paper. Scale approximately 1:24,000.",Public,JPEG,English,Image,publisher not identified,,,"Schwender,  William A., cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00584"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00584""}",Indiana Historic Maps,"Van Buren Township, Indiana, United States|Monroe County, Indiana, United States|Indiana, United States",http://sws.geonames.org/4927557|http://sws.geonames.org/4261526|http://sws.geonames.org/4921868,196-?,09a67eb6-c6f7-46ca-b025-67fcec09ea82,Paper Map,2017-12-8T14:39:47Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00584,"39.1051,-86.61","ENVELOPE(-86.66, -86.56, 39.1501, 39.0601)",1960
80e8cbfc-371b-4e13-8165-7c69756be7e7,"Map of the Kankakee Valley in Lake, Newton and part of Jasper Counties Indiana","Blueprint. Scale approximately 1:32,000.",Public,JPEG,English,Image,M J. Ahlgrim?,,,"Ahlgrim,  M. J., cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00581"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00581""}",Indiana Historic Maps,"Kankakee River, Illinois, United States|State of Illinois, Illinois, United States|Indiana, United States",http://sws.geonames.org/4898199|http://sws.geonames.org/4896861|http://sws.geonames.org/4921868,1900,80e8cbfc-371b-4e13-8165-7c69756be7e7,Paper Map,2017-12-8T14:39:47Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00581,"41.2051,-87.36005","ENVELOPE(-87.5101, -87.21, 41.3001, 41.1101)",1900
a02ab458-8dd0-4fc6-afbb-9f8ba3ee21ac,"Street map of the City of Fort Wayne, Allen County, Indiana","Includes distance circles, street index and ill. Scale approximately 1:22,600.",Public,JPEG,English,Image,City Engineer's Office,,,"McAnlis,  C. R., cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00577"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00577""}",Indiana Historic Maps,"Fort Wayne, Indiana, United States|Indiana, United States",http://sws.geonames.org/4920423|http://sws.geonames.org/4921868,1947,a02ab458-8dd0-4fc6-afbb-9f8ba3ee21ac,Paper Map,2017-12-8T14:39:47Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00577,"41.0651,-85.14005","ENVELOPE(-85.3, -84.9801, 41.1801, 40.9501)",1947
01b4f905-0b14-46a9-92d7-43ab49104cb0,Gary and Tolleston Indiana,"Title devised by cataloger.; ""Complements of Gary and Tolleston Reality Co."" Scale not given.",Public,JPEG,English,Image,Will H. Moore,,,"Moore,  Will H., 1850-cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00562"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00562""}",Indiana Historic Maps,"Tolleston, Indiana, United States|Gary, Indiana, United States|Indiana, United States",http://sws.geonames.org/4927283|http://sws.geonames.org/4920607|http://sws.geonames.org/4921868,1908,01b4f905-0b14-46a9-92d7-43ab49104cb0,Paper Map,2017-12-8T14:39:47Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00562,"41.58,-87.32","ENVELOPE(-87.43, -87.21, 41.65, 41.51)",1908
64d870f8-2cca-45c2-a90c-4b93ecee0d7c,"Map of South Whitley, Indiana","""Home town of recording artist Janie Fricke.""; Oriented with north toward the upper right.; Includes indexes to points of interest and members of the South Whitley Chamber of Commerce. Scale not given.",Public,JPEG,English,Image,South Whitley Chamber of Commerce,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00408"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00408""}",Indiana Historic Maps,"South Whitley, Indiana, United States|Indiana, United States",http://sws.geonames.org/4926629|http://sws.geonames.org/4921868,between 1977 and 1982?,64d870f8-2cca-45c2-a90c-4b93ecee0d7c,Paper Map,2017-12-8T14:39:47Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00408,"41.07005,-85.61505","ENVELOPE(-85.63, -85.6001, 41.0801, 41.06)",1977
