dc_identifier_s,dc_title_s,dc_description_s,dc_rights_s,dc_format_s,dc_language_s,dc_type_s,dc_publisher_sm__-,dc_creator_sm,dc_subject_sm,dct_provenance_s,dct_references_s,dct_isPartOf_sm,dct_issued_s,dct_temporal_sm__-,dct_spatial_sm,dc_relation_sm,thumbnail_path_ss,layer_slug_s,layer_geom_type_s,layer_modified_dt,centroid_s,solr_geom,solr_year_i
f25ba543-0358-45f3-b422-591122603299,"Atlas of Sioux County, Iowa, circa 1928",No known copyright restrictions. University of Iowa. Libraries. Map Collection,Public,JPEG,eng,Image,Alton Democrat (Firm),Alton Democrat (Firm),Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13684""}",Iowa Counties Historic Atlases,1928,1928,"Sioux County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4876545|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13684,f25ba543-0358-45f3-b422-591122603299,Paper Map,2017-12-8T15:0:12Z,"43.085231781,-96.21157836915","ENVELOPE(-96.56590271, -95.8572540283, 43.2614631653, 42.9090003967)",1928
128dbbe2-c89d-4fa1-8d8c-71a714d2a865,"Atlas of Sioux County, Iowa, 1913",1 1/2 in. to the mile Material in the public domain. No restrictions on use. University of Iowa. Libraries. Map Collection,Public,JPEG,eng,Image,Alton Democrat (Firm),Anderson Publishing Company,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13659""}",Iowa Counties Historic Atlases,1913,1913,"Sioux County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4876545|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13659,128dbbe2-c89d-4fa1-8d8c-71a714d2a865,Paper Map,2017-12-8T15:0:12Z,"43.085231781,-96.21157836915","ENVELOPE(-96.56590271, -95.8572540283, 43.2614631653, 42.9090003967)",1913
57732af4-286a-4bed-b4b8-bfc0de03ab51,"Hancock County atlas, Iowa, 1905","1:42,240; 1 1/2 in. to the mile. Material in the public domain. No restrictions on use. University of Iowa. Libraries. Map Collection",Public,JPEG,eng,Image,Times-Republican (Firm),,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13596""}",Iowa Counties Historic Atlases,1905,1905,"Hancock County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4859678|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13596,57732af4-286a-4bed-b4b8-bfc0de03ab51,Paper Map,2017-12-8T15:0:12Z,"43.08197402955,-93.73449707035","ENVELOPE(-93.9713058472, -93.4976882935, 43.2573051453, 42.9066429138)",1905
97fb9bf1-c9af-4a43-8635-30aeb0051834,"Atlas and Township Plats of O'Brien County, Iowa, 1934","(K. & S . Land Plats, O'Brien County Bell; 1934; Atlas and Township Plats of O'Brien County, Iowa); 1 atlas.: b&w.; 28 X 35 cm. No known copyright restrictions. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,K. & S . Land Plats O'Brien County Bell,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13550""}",Iowa Counties Historic Atlases,1934,1934,"O'Brien County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4869475|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13550,97fb9bf1-c9af-4a43-8635-30aeb0051834,Paper Map,2017-12-8T15:0:13Z,"43.0842437744,-95.6251335144","ENVELOPE(-95.8625946045, -95.3876724243, 43.2594871521, 42.9090003967)",1934
696ea9ce-33bc-41d3-9e8b-0f4033c35dcf,"Atlas and Rural Directory of Marion County, Iowa, 1937","(Jackson Publicity Service, 1937, Atlas and Rural Directory of Marion County, Iowa); 1 atlas: b&w.; 27 X 39 cm. No known copyright restrictions. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Jackson Publicity Service,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13526""}",Iowa Counties Historic Atlases,1937,1937,"Marion County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4866274|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13526,696ea9ce-33bc-41d3-9e8b-0f4033c35dcf,Paper Map,2017-12-8T15:0:13Z,"41.3335514069,-93.10076904295","ENVELOPE(-93.3305740356, -92.8709640503, 41.5082740784, 41.1588287354)",1937
e84c3097-fe7c-4fbe-8851-76a65d39a101,"Atlas of Johnson County, Iowa, 1917","(Economy Advertising Company, 1917, Atlas of Johnson County, Iowa); 1l.: col.; 38 X 46 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Economy Advertising Company,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13477""}",Iowa Counties Historic Atlases,1917,1917,"Johnson County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4862732|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13477,e84c3097-fe7c-4fbe-8851-76a65d39a101,Paper Map,2017-12-8T15:0:14Z,"41.6420879364,-91.60040283205","ENVELOPE(-91.8337402344, -91.3670654297, 41.8619651794, 41.4222106934)",1917
4c5c73a9-9918-4906-ac74-e7fbfbf2411c,"New Atlas of Linn County, Iowa, 1938","(Wood Atlas Co., 1938, New Atlas of Linn County, Iowa); 1 atlas.: b&w.; 35.5 X 38 cm No known copyright restrictions. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Wood Atlas Co.,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13419""}",Iowa Counties Historic Atlases,1938,1938,"Linn County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4864924|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13419,4c5c73a9-9918-4906-ac74-e7fbfbf2411c,Paper Map,2017-12-8T15:0:14Z,"42.0794944763,-91.5995635986","ENVELOPE(-91.8342285156, -91.3648986816, 42.2986755371, 41.8603134155)",1938
e33cd410-3553-4c5d-b474-005cfe26a0c9,"Haskell's New Indexed Atlas of Muscatine County, Iowa, 1884","Haskell's New Indexed Atlas of Muscatine County, Iowa (Des Moines, IA: O.C. Haskell, 1884); 1 atlas: col.; 34 X 28 cm Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,O.C. Haskell,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13396""}",Iowa Counties Historic Atlases,1884,1884,"Muscatine County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4868410|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13396,e33cd410-3553-4c5d-b474-005cfe26a0c9,Paper Map,2017-12-8T15:0:14Z,"41.4658317566,-91.07752990725","ENVELOPE(-91.3701477051, -90.7849121094, 41.598739624, 41.3329238892)",1884
065ff32a-de9b-4382-99f6-9937e92b40e0,"Plat Book of Davis County, Iowa, 1891","(Alden, Ogle & Co., 1891, Plat Book of Davis County, Iowa); 1 atlas: col.; 46 x 37 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,"Alden, Ogle & Co.",,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13308""}",Iowa Counties Historic Atlases,1891,1891,"Davis County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4853465|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13308,065ff32a-de9b-4382-99f6-9937e92b40e0,Paper Map,2017-12-8T15:0:15Z,"40.74542808535,-92.4095802307","ENVELOPE(-92.6399993896, -92.1791610718, 40.8994102478, 40.5914459229)",1891
89963ed1-638e-4934-80ea-ad3ae3bc556f,"Plat Book of Monona County, Iowa, 1937","(The Onawa Democrat, 1937, Plat Book of Monona County, Iowa); 1 atlas: b&w; 28 X 22 cm. No known copyright restrictions. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,The Onawa Democrat,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13276""}",Iowa Counties Historic Atlases,1937,1937,"Monona County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4867704|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13276,89963ed1-638e-4934-80ea-ad3ae3bc556f,Paper Map,2017-12-8T15:0:15Z,"42.0383529663,-96.01428222655","ENVELOPE(-96.358505249, -95.6700592041, 42.2148246765, 41.8618812561)",1937
