"Dublin Core:Title","Dublin Core:Description","Dublin Core:Rights","Dublin Core:Provenance","Dublin Core:Is Part Of","Dublin Core:Subject","Dublin Core:Spatial Coverage","Dublin Core:Temporal Coverage","Dublin Core:Date Issued","Dublin Core:Creator","Dublin Core:Publisher","Dublin Core:Format","Dublin Core:Language","Dublin Core:Type","Dublin Core:Identifier","Dublin Core:Relation","Dublin Core:References","Dublin Core:Source","Dublin Core:Date","Dublin Core:Contributor","Dublin Core:Coverage","Dublin Core:Alternative Title","Dublin Core:Abstract","Dublin Core:Table Of Contents","Dublin Core:Date Available","Dublin Core:Date Created","Dublin Core:Date Accepted","Dublin Core:Date Copyrighted","Dublin Core:Date Submitted","Dublin Core:Date Modified","Dublin Core:Date Valid","Dublin Core:Access Rights","Dublin Core:License","Dublin Core:Conforms To","Dublin Core:Has Format","Dublin Core:Has Part","Dublin Core:Has Version","Dublin Core:Is Format Of","Dublin Core:Is Referenced By","Dublin Core:Is Replaced By","Dublin Core:Is Required By","Dublin Core:Is Version Of","Dublin Core:Replaces","Dublin Core:Requires","Dublin Core:Extent","Dublin Core:Medium","Dublin Core:Bibliographic Citation","Dublin Core:Accrual Method","Dublin Core:Accrual Periodicity","Dublin Core:Accrual Policy","Dublin Core:Audience","Dublin Core:Audience Education Level","Dublin Core:Mediator","Dublin Core:Instructional Method","Dublin Core:Rights Holder","Item Type Metadata:Text","Item Type Metadata:Interviewer","Item Type Metadata:Interviewee","Item Type Metadata:Location","Item Type Metadata:Transcription","Item Type Metadata:Local URL","Item Type Metadata:Original Format","Item Type Metadata:Physical Dimensions","Item Type Metadata:Duration","Item Type Metadata:Compression","Item Type Metadata:Producer","Item Type Metadata:Director","Item Type Metadata:Bit Rate/Frequency","Item Type Metadata:Time Summary","Item Type Metadata:Email Body","Item Type Metadata:Subject Line","Item Type Metadata:From","Item Type Metadata:To","Item Type Metadata:CC","Item Type Metadata:BCC","Item Type Metadata:Number of Attachments","Item Type Metadata:Standards","Item Type Metadata:Objectives","Item Type Metadata:Materials","Item Type Metadata:Lesson Plan Text","Item Type Metadata:URL","Item Type Metadata:Event Type","Item Type Metadata:Participants","Item Type Metadata:Birth Date","Item Type Metadata:Birthplace","Item Type Metadata:Death Date","Item Type Metadata:Occupation","Item Type Metadata:Biographical Text","Item Type Metadata:Bibliography","Item Type Metadata:Notes","Item Type Metadata:Stage",GeoBlacklight:UUID,"GeoBlacklight:Layer ID",GeoBlacklight:Slug,"GeoBlacklight:Geometry Type","GeoBlacklight:Layer Modified Date","GeoBlacklight:GeoRSS Box","GeoBlacklight:GeoRSS Polygon","GeoBlacklight:GeoRSS Point","GeoBlacklight:Apache Solr Geometry","GeoBlacklight:Apache Solr Bounding Box","GeoBlacklight:Apache Solr Year","GeoBlacklight:Information Page",GeoBlacklight:Thumbnail,"GeoBlacklight:Download File","GeoBlacklight:IIIF Server","GeoBlacklight:Esri Rest Service","GeoBlacklight:Web Map Service",tags,file,itemType,collection,public,featured
"Sketch of the public surveys in Michigan",,Public,"Michigan State","Michigan State University Map Library","Tourist maps","5001836: Michigan (country, state, region,...), Michigan, United States",1865,,"Bien, Julius",,JPEG,English,Image,f94ca9b0-add0-4e63-9214-1fb6942bf8fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f94ca9b0-add0-4e63-9214-1fb6942bf8fc,,,"Image",,"-90.42,41.7,-82.12,48.31",,"45.005,-86.27",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/michigan/843-E-1865-railroad300,https://archive.lib.msu.edu/maps/public/images/843-E-1865-railroad300-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/843-E-1865-railroad300.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"A New Chart of the Coast of New England, Nova Scotia, New France or Canada. with the Islands of New Foundld, Cape Breton, St. John's &c",,Public,"Michigan State","Michigan State University Map Library",,"6091530: Nova Scotia (country, state, region,...), Nova Scotia, Canada",1746,,,,JPEG,English,Image,f7a3ddf7-68fc-44c8-b4ad-d3f54f793608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7a3ddf7-68fc-44c8-b4ad-d3f54f793608,,,"Image",,"-71.26,42.47,-51.51,52.77",,"47.62,-61.385",,,,https://lib.msu.edu/branches/map/JPEGS/100-c-A-1746NovaScotia,https://archive.lib.msu.edu/maps/public/images/100-c-A-1746NovaScotia-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/100-c-A-1746NovaScotia.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Africa Population",,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1913,,"J.G. Bartholomew",,JPEG,English,Image,f1dac233-0fe9-44a7-817b-b3e1f1990f9f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1dac233-0fe9-44a7-817b-b3e1f1990f9f,,,"Image",,"-18.6,-35.3,52.3,37.5",,"1.1,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/16_g2445b3_l,https://archive.lib.msu.edu/maps/public/images/16_g2445b3_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Africa/16_g2445b3_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Plan for settling new colonies.","Map shows a plan for a town in the new American colonies.: Original version published [London] : [Gentleman's Magazine], [1769?]; Scale not given.",Public,"Michigan State","Michigan State University Map Library",,"6252001: United States (country, state, region,...), United States",1769,,,,JPEG,English,Image,ece172d0-8ab3-4695-a902-79a925bb1fb0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ece172d0-8ab3-4695-a902-79a925bb1fb0,,,"Image",,"170.6,18.8,-66.9,71.6",,"45.2,51.85",,,,https://lib.msu.edu/branches/map/scanned/US/990-E-1769-400,https://archive.lib.msu.edu/maps/public/images/990-E-1769-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/990-A-1770-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Lawrence Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,eca684ef-7678-4563-a07b-21b81a8ae8c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eca684ef-7678-4563-a07b-21b81a8ae8c1,,,"Image",,"-86.108585,42.15666,-85.992772,42.252265",,"42.2044625,-86.0506785",,,,https://lib.msu.edu/branches/map/MiJPEGs/30_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/30_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/30_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Paw Paw Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,ebb68332-6f59-47b9-a587-a08ef7d55a3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ebb68332-6f59-47b9-a587-a08ef7d55a3a,,,"Image",,"-85.993923,42.15666,-85.877609,42.258646",,"42.207653,-85.935766",,,,https://lib.msu.edu/branches/map/MiJPEGs/32_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/32_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/32_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Afrika Politische Übersicht",,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1892,,,,JPEG,German,Image,e9ed49eb-8690-40c5-b49d-3418eb0568bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e9ed49eb-8690-40c5-b49d-3418eb0568bf,,,"Image",,"-18.6,-35.3,52.3,37.20",,"0.950000000000003,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/82_g1019m4_1892_l,https://archive.lib.msu.edu/maps/public/images/82_g1019m4_1892_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Africa/82_g1019m4_1892_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of the state of Michigan and the Surrounding Country",,Public,"Michigan State","Michigan State University Map Library",,"5001836: Michigan (country, state, region,...), Michigan, United States",1873,,"Farmer, John",,JPEG,English,Image,dfbd402f-9a52-4f77-bb21-038618b66021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfbd402f-9a52-4f77-bb21-038618b66021,,,"Image",,"-87.33,41.7,-82.12,48.31",,"45.005,-84.725",,,,https://lib.msu.edu/branches/map/Scanned-Maps/Michigan/843-A-1873-farmer/,https://archive.lib.msu.edu/maps/public/images/843-a-1873-farmer-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/843-A-1873-farmer-300.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
Michigan,,Public,"Michigan State","Michigan State University Map Library",,"5001836: Michigan (country, state, region,...), Michigan, United States",1844,,"Morse, Sidney, E.",,JPEG,English,Image,ddb898ac-94f9-47e1-9106-687a4f7509e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddb898ac-94f9-47e1-9106-687a4f7509e8,,,"Image",,"-90.42,41.7,-82.12,48.31",,"45.005,-86.27",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/Michigan/843-A-1844-morse-300,https://archive.lib.msu.edu/maps/public/images/843-A-1844-morse-300-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/843-A-1844-morse-300.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"The North Coast of Russia, from the Latest Discoveries",,Public,"Michigan State","Michigan State University Map Library",,"2017370: Russia (country, state, region,...), Russia",1749,,,,JPEG,English,Image,dcca0fd9-ddda-4348-8d41-e7194e2b665f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcca0fd9-ddda-4348-8d41-e7194e2b665f,,,"Image",,"44.96,59.68,-169.0,81.27",,"70.475,-62.02",,,,https://lib.msu.edu/branches/map/scanned/Asia/490-A-1749-400,https://archive.lib.msu.edu/maps/public/images/490-A-1749-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/490-A-1749-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
