uuid,dc_identifier_s,dc_title_s,dc_description_s,dc_creator_sm,dc_publisher_sm,dc_rights_s,dct_provenance_s,dct_references_s,layer_id_s,layer_slug_s,layer_geom_type_s,layer_modified_dt,dc_format_s,dc_language_s,dc_type_s,dc_subject_sm,dct_isPartOf_sm,dc_source_sm,dct_issued_s,dct_temporal_sm,dct_spatial_sm,solr_geom,centroid_s,solr_year_i,thumbnail_path_ss
217412be-4a55-468c-b9d1-c6b6aee75411,217412be-4a55-468c-b9d1-c6b6aee75411,"Height Modernization (ILHMP) LiDAR Data: Carroll County, Illinois: 2009","This LiDAR data is within Illinois Department of Transportation District 2 and includes Carroll County, Illinois. The data is updated from its original format to LAS version 1.2. The LiDAR data was collected in March 2009 as 'Carroll County, Illinois LiDAR Acquisition' - ILDOT Project No. P-30-007-08, PTB 146, Item41. Data was acquired by Quantum Spatial as project 1090716 with an Optech ALTM Gemini sensor equipped with an inertial measuring unit (IMU) and GPS receiver. The acquisition was to produce first return ASCII, bare earth ASCII, DAT and TIN files.","[u'Quantum Spatial, Inc (formerly AeroMetric, Inc.)']",,Public,Illinois,"{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/carroll/carroll_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/217412be-4a55-468c-b9d1-c6b6aee75411/formatters/xml""}",217412be-4a55-468c-b9d1-c6b6aee75411,217412be-4a55-468c-b9d1-c6b6aee75411,Mixed,2017-12-22T17:36:38Z,Shapefile,English,Dataset,"[u'Elevation', u'Imagery and Base Maps']",Illinois Geospatial Data Clearinghouse,9a717589-8bd5-4eae-8414-48ea9d474a43,2014-06-12,2009-2014,"[u'Carroll County, Illinois, United States', u'Illinois, United States']","ENVELOPE(-90.317, -88.685, 42.2, 41.928)","42.064,-89.501",2009,http://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/styles/dataset_image/public/Clearinghouse/data/ISGS/Elevation/images/SmallInv.jpg
1ba735ac-7850-4ff5-b8d6-57c35ea66563,1ba735ac-7850-4ff5-b8d6-57c35ea66563,"Height Modernization (ILHMP) LiDAR Data: Saline County, Illinois: 2011","QA/QC checkpoints were collected by field survey throughout the AOI. These points were used for an independent (blind) quality check of the processed LiDAR data. LiDAR acquisition and processing to the Point Cloud product took place during the 2010 fall flight season. See MIP Case 11-05-2219S for further information and documentation. Processing to the fully classified dataset took place under the FY11 tasking. The deliverable consists of tiles of fully classified LAS 1.2 points. A narrative accompanies this deliverable, as well as the independent QC report, and a QA report.",[u'Federal Emergency Management Agency'],[u'Federal Emergency Management Agency'],Public,Illinois,"{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/saline/saline_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/1ba735ac-7850-4ff5-b8d6-57c35ea66563/formatters/xml""}",1ba735ac-7850-4ff5-b8d6-57c35ea66563,1ba735ac-7850-4ff5-b8d6-57c35ea66563,Mixed,2017-12-22T17:36:31Z,Shapefile,English,Dataset,"[u'Elevation', u'Imagery and Base Maps']",Illinois Geospatial Data Clearinghouse,9a717589-8bd5-4eae-8414-48ea9d474a43,2012-04-30,2012,"[u'Saline County, Illinois, United States', u'Illinois, United States']","ENVELOPE(-88.232284, -87.041088, 39.790729, 37.640155)","38.715442,-87.636686",2012,http://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/styles/dataset_image/public/Clearinghouse/data/ISGS/Elevation/images/SmallInv.jpg
fd7362c2-17fa-46d5-a356-bd4fd5eb564d,fd7362c2-17fa-46d5-a356-bd4fd5eb564d,"Height Modernization (ILHMP) LiDAR Data: Will County, Illinois: 2014","This dataset is 1 ppsm LiDAR point cloud data and derivative models of Will County, Illinois, However after processing the dataset satisfies 2 ppsm and Quality Level 2 data. Will County is approximately 840 square miles (2175 square kilometers) in north eastern Illinois. Data was collected at a nominal pulse spacing (NPS) of 0.7 meter. Data acquisition, processing and assessment is compliant with procedures and methods stated in U.S. Geological Survey National Geospatial Program LiDAR Base Specification Version 1.0 and Federal Emergency Management Agency Procedure Memorandum 61. This dataset consists of LiDAR LAS swath files and tiled LAS files. Tiled LAS files contain LiDAR point information which has been calibrated, controlled, and classified. Quantum Spatial Project No: 1140310.02","[u'Quantum Spatial, Inc.']",,Public,Illinois,"{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/will/will_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/fd7362c2-17fa-46d5-a356-bd4fd5eb564d/formatters/xml""}",fd7362c2-17fa-46d5-a356-bd4fd5eb564d,fd7362c2-17fa-46d5-a356-bd4fd5eb564d,Point,2017-12-22T17:36:45Z,Shapefile,English,Dataset,"[u'Elevation', u'Imagery and Base Maps']",Illinois Geospatial Data Clearinghouse,9a717589-8bd5-4eae-8414-48ea9d474a43,2014-11-26,2014,"[u'Will County, Illinois, United States', u'Illinois, United States']","ENVELOPE(-88.155, -87.512, 41.744, 41.204)","41.474,-87.8335",2014,http://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/styles/dataset_image/public/Clearinghouse/data/ISGS/Elevation/images/SmallInv.jpg
d2839e70-6f3f-4dfd-a1b6-e6f2679691c5,d2839e70-6f3f-4dfd-a1b6-e6f2679691c5,"Buried Bedrock Surface: Illinois, 2004","The Buried Bedrock Surface of Illinois map represents the first revision of the bedrock topography map since the second edition was published by the Illinois State Geological Survey (Horberg, 1957). The map is useful for the regional and statewide studies such as groundwater resource planning and geologic mapping. The data included on this map were compiled by many downhole logging and surface studies. This information was combined to revise the bedrock topography map for the entire state. Since some of the most extensive and productive aquifers in the state are located in thick glacial sediments of major buried bedrock valleys, special attention was given to data for known bedrock valleys. The revised map was published by the ISGS (Herzog et al, 1994) and much of the following text appears on the published map. The bedrock topography is shown as 50-foot (15-meter) contours of bedrock elevation above mean sea level (msl). Bedrock elevations range from less then 250 feet (76 meters) in southern Illinois to more than a 1000 feet (300 meters) in the northwestern part of the state. Several major bedrock valleys are found across the state. The greatest control for the present bedrock surface configuration was probably the preglacial surface configuration. The interpretations of bedrock topography have been modified since the 1950's. Horberg contoured his map with the philosophy that the bedrock surface map represented the preglacial topography modified by glacial erosion, which formed U-shaped valleys. The current map, showing narrow valley channels and bedrock knobs in wide channels, indicates complex preglacial and glacial erosion primarily from running water. The major valleys were formed before the minor valleys that appear as tributaries. Streams that formed during successive glaciations probably eroded to bedrock and produced the small tributary valleys to the main channels. The bedrock surface was less likely to be eroded as sediments accumulated during each successive glaciation.","[u'Herzog, B.L.. B.J. Stiff, C.A. Chenoweth, K.L. Warner, J.B. Sievering, C. Avery']",[u'Illinois State Geological Survey'],Public,Illinois,"{""http://schema.org/url"":""https://clearinghouse.isgs.illinois.edu/data/geology/bedrock-topography"",""http://schema.org/downloadUrl"":""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Bedrock_Topography_1994_Ln.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Geology/Bedrock_Topography_1994_Ln/MapServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/d2839e70-6f3f-4dfd-a1b6-e6f2679691c5/formatters/xml""}",d2839e70-6f3f-4dfd-a1b6-e6f2679691c5,d2839e70-6f3f-4dfd-a1b6-e6f2679691c5,Mixed,2017-12-22T17:36:29Z,Shapefile,English,Dataset,"[u'Geoscientific Information', u'Geology']",Illinois Geospatial Data Clearinghouse,,1993-12-30,1994,"[u'Illinois, United States']","ENVELOPE(-91.58050943, -87.38825182, 42.49669441, 36.9521143)","39.724404355,-89.484380625",1994,https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/styles/dataset_image/public/Clearinghouse/data/ISGS/Geology/images/bedtopob.gif
1de0862c-5c2d-4c9f-8c00-95187d3b9476,1de0862c-5c2d-4c9f-8c00-95187d3b9476,"Height Modernization (ILHMP) LiDAR Data: Champaign County, Illinois: 2008","This LiDAR data is within Illinois Department of Transportation District 5 and includes Champaign County, Illinois. The data is updated from its original format to LAS version 1.2. The LiDAR data was collected in April 2008 as 'Champaign Co., IL LiDAR' and was Task Order Number: 3. Data was acquired by Quantum Spatial as project 1080208 with an Optech ALTM 3100 sensor equipped with an inertial measuring unit (IMU) GPS receiver. The acquisition was to produce bare earth ASCII, LAS data and 2 foot contour Shapefiles.","[u'Quantum Spatial, Inc. (formerly AeroMetric, Inc.)']",,Public,Illinois,"{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/champaign/champaign_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/1de0862c-5c2d-4c9f-8c00-95187d3b9476/formatters/xml""}",1de0862c-5c2d-4c9f-8c00-95187d3b9476,1de0862c-5c2d-4c9f-8c00-95187d3b9476,Mixed,2017-12-22T17:36:28Z,Shapefile,English,Dataset,"[u'Elevation', u'Imagery and Base Maps']",Illinois Geospatial Data Clearinghouse,9a717589-8bd5-4eae-8414-48ea9d474a43,2014-06-12,2008-2014,"[u'Illinois, United States', u'Champaign County, Illinois, United States']","ENVELOPE(-88.463, -87.929, 40.401, 39.879)","40.14,-88.196",2008,http://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/styles/dataset_image/public/Clearinghouse/data/ISGS/Elevation/images/SmallInv.jpg
2d14c9f5-d569-4ada-9e0d-3f9f331268e5,2d14c9f5-d569-4ada-9e0d-3f9f331268e5,"Height Modernization (ILHMP) LiDAR Data: Boone County, Illinois: 2007","Provide FEMA compliant elevation, topography and contour map of Boone County, Illinois. Provide Bare Earth DEM (vegetation removal) of Boone County, Illinois.",[u'This data set was developed for the United States Geological Survey. by Sanborn Mapping.'],,Public,Illinois,"{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/boone/boone_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/2d14c9f5-d569-4ada-9e0d-3f9f331268e5/formatters/xml""}",2d14c9f5-d569-4ada-9e0d-3f9f331268e5,2d14c9f5-d569-4ada-9e0d-3f9f331268e5,Mixed,2017-12-22T17:36:55Z,Shapefile,English,Dataset,"[u'Elevation', u'Imagery and Base Maps']",Illinois Geospatial Data Clearinghouse,9a717589-8bd5-4eae-8414-48ea9d474a43,2007-01-02,2007,"[u'Boone County, Illinois, United States', u'Illinois, United States']","ENVELOPE(-88.943101, -88.704352, 42.496074, 42.152352)","42.324213,-88.8237265",2007,http://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/styles/dataset_image/public/Clearinghouse/data/ISGS/Elevation/images/SmallInv.jpg
56bcabdc-60fe-48e9-ad5b-3d3e6386bba6,56bcabdc-60fe-48e9-ad5b-3d3e6386bba6,"Height Modernization (ILHMP) LiDAR Data: Wabash County, Illinois: 2011","This task order is for planning, acquisition, processing, and derivative products of LiDAR data to be collected for areas of Illinois. LiDAR data, and derivative products produced in compliance with this task order are part of the data to be obtained under Job Number P-99-005-10. Specifications listed below are based on the U.S. Geological Survey National Geospatial Program Base LiDAR Specification, Version 13.","[u'AeroMetric, Inc.']","[u'AeroMetric, Inc.']",Public,Illinois,"{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/wabash/wabash_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/56bcabdc-60fe-48e9-ad5b-3d3e6386bba6/formatters/xml""}",56bcabdc-60fe-48e9-ad5b-3d3e6386bba6,56bcabdc-60fe-48e9-ad5b-3d3e6386bba6,Mixed,2017-12-22T17:36:40Z,Shapefile,English,Dataset,"[u'Imagery and Base Maps', u'Elevation']",Illinois Geospatial Data Clearinghouse,9a717589-8bd5-4eae-8414-48ea9d474a43,2012-06-25,2011,"[u'Wabash County, Illinois, United States', u'Illinois, United States']","ENVELOPE(-88.152, -87.639, 38.573, 38.227)","38.4,-87.8955",2011,http://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/styles/dataset_image/public/Clearinghouse/data/ISGS/Elevation/images/SmallInv.jpg
e1b22bfe-a5fc-4519-8516-b86408635bb2,e1b22bfe-a5fc-4519-8516-b86408635bb2,"Statewide 30-Meter Shaded Relief Image: Illinois, 2006","This is a shaded relief image of Illinois in ArcSDE raster format. The data are stored in UTM coordinates, using a Transverse Mercator projection with the parameters of UTM Zone 16, NAD27. The data have a 30-meter ground resolution. The source DEM is a mosaicked model of USGS 30x30 meter DEMs, showing 1:24,000-SCALE quadrangle map boundaries that extend in an irregular buffer outside the state boundary. The source DEM is stored in the ISGS GIS database as GISDB.IL_DEM_30M_RAS.","[u'Lisa Smith', u'Chris Goldsmith', u'Donald Luman']",[u'Illinois State Geological Survey'],Public,Illinois,"{""http://schema.org/url"":""https://clearinghouse.isgs.illinois.edu/data/elevation/surface-elevation-30-meter-shaded-relief-map"",""http://schema.org/downloadUrl"":""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Elevation/zips/IL_Dem_Shaded_Relief_30m.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_DEM_SHADED_RELIEF_30M/MapServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/e1b22bfe-a5fc-4519-8516-b86408635bb2/formatters/xml""}",e1b22bfe-a5fc-4519-8516-b86408635bb2,e1b22bfe-a5fc-4519-8516-b86408635bb2,Raster,2017-12-22T17:36:38Z,GeoTIFF,English,Dataset,"[u'Elevation', u'Imagery and Base Maps']",Illinois Geospatial Data Clearinghouse,,2003-01-01,2003,"[u'Illinois, United States']","ENVELOPE(-91.5336, -87.249, 42.6108, 36.8568)","39.7338,-89.3913",2003,
1de8d3da-ba9a-497c-83ba-8442f307f23d,1de8d3da-ba9a-497c-83ba-8442f307f23d,"One-Hundred and Five-Hundred Year Floodzones for Unincorporated Areas: Illinois, 2006","This feature class was quickly assembled from old Arc/Info coverages to produce a general graphic image and has not reviewed or quality-controlled in any way and is not supported. This is a statewide polygon feature class of 100 year and 500 year flood zones as of 1986 for the unincorporated areas of Illinois as indicated on Federal Emergency Management Agency (FEMA) National Flood Insurance Program (FIRM) maps and Flood Hazard Boundary maps. The statewide data layer was created by appending data from 102 county-wide Arc/Info coverages originally released on Illinois DNR GIS data CDs dated 1996. The data were digitized from paper maps. RMS values were not more than twenty feet in the original digitizing process. Mapscale: 1:6000 to 1:24,000.",[u'Illinois State Water Survey'],,Public,Illinois,"{""http://schema.org/url"":""https://clearinghouse.isgs.illinois.edu/data/hydrology/flood-zones-unincorporated-areas-one-hundred-and-five-hundred-year"",""http://schema.org/downloadUrl"":""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Hydrology/zips/IL_Flood_Zones_1986_Py.zip"",""http://www.opengis.net/cat/csw/csdgm"":""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_Flood_Zones_1986_Py.xml"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/1de8d3da-ba9a-497c-83ba-8442f307f23d/formatters/xml""}",1de8d3da-ba9a-497c-83ba-8442f307f23d,1de8d3da-ba9a-497c-83ba-8442f307f23d,Mixed,2017-12-22T17:36:51Z,Shapefile,English,Dataset,"[u'Inland Waters', u'Wetlands', u'Floodzones', u'Hydrology']",Illinois Geospatial Data Clearinghouse,,1995-12-29,1996,"[u'Illinois, United States']","ENVELOPE(-91.513518, -87.495214, 42.508002, 36.987594)","39.747798,-89.504366",1996,https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/styles/dataset_image/public/Clearinghouse/data/ISGS/Hydrology/images/IL_Flood_Zones_1986_Py.jpg
36836151-1971-49d9-bd71-2d26f258a5ea,36836151-1971-49d9-bd71-2d26f258a5ea,"Height Modernization (ILHMP) LiDAR Data: Woodford County, Illinois: 2012","This task order is for planning, acquisition, processing, and derivative products of LiDAR data to be collected for areas of Illinois. LiDAR data, and derivative products produced in compliance with this task order are part of the data to be obtained under Job Number P-94-025-10. Specifications listed below are based on the U.S. Geological Survey National Geospatial Program Base LiDAR Specification, Version 13.","[u'AeroMetric, Inc.']","[u'AeroMetric, Inc.']",Public,Illinois,"{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/woodford/woodford_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/36836151-1971-49d9-bd71-2d26f258a5ea/formatters/xml""}",36836151-1971-49d9-bd71-2d26f258a5ea,36836151-1971-49d9-bd71-2d26f258a5ea,Mixed,2017-12-22T17:36:47Z,Shapefile,English,Dataset,"[u'Imagery and Base Maps', u'Elevation']",Illinois Geospatial Data Clearinghouse,9a717589-8bd5-4eae-8414-48ea9d474a43,2013-03-28,2011-2012,"[u'Woodford County, Illinois, United States', u'Illinois, United States']","ENVELOPE(-89.563, -89.927, 40.928, 40.59)","40.759,-89.745",2011,http://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/styles/dataset_image/public/Clearinghouse/data/ISGS/Elevation/images/SmallInv.jpg
