"Dublin Core:Alternative Title","Dublin Core:Abstract","Dublin Core:Table Of Contents","Dublin Core:Date Available","Dublin Core:Date Created","Dublin Core:Date Accepted","Dublin Core:Date Copyrighted","Dublin Core:Date Submitted","Dublin Core:Date Issued","Dublin Core:Date Modified","Dublin Core:Date Valid","Dublin Core:Access Rights","Dublin Core:License","Dublin Core:Conforms To","Dublin Core:Has Format","Dublin Core:Has Part","Dublin Core:Has Version","Dublin Core:Is Format Of","Dublin Core:Is Part Of","Dublin Core:Is Referenced By","Dublin Core:Is Replaced By","Dublin Core:Is Required By","Dublin Core:Is Version Of","Dublin Core:References","Dublin Core:Replaces","Dublin Core:Requires","Dublin Core:Extent","Dublin Core:Medium","Dublin Core:Bibliographic Citation","Dublin Core:Spatial Coverage","Dublin Core:Temporal Coverage","Dublin Core:Accrual Method","Dublin Core:Accrual Periodicity","Dublin Core:Accrual Policy","Dublin Core:Audience","Dublin Core:Audience Education Level","Dublin Core:Mediator","Dublin Core:Instructional Method","Dublin Core:Provenance","Dublin Core:Rights Holder","Dublin Core:Title","Dublin Core:Subject","Dublin Core:Description","Dublin Core:Creator","Dublin Core:Source","Dublin Core:Publisher","Dublin Core:Date","Dublin Core:Contributor","Dublin Core:Rights","Dublin Core:Relation","Dublin Core:Format","Dublin Core:Language","Dublin Core:Type","Dublin Core:Identifier","Dublin Core:Coverage","Item Type Metadata:Text","Item Type Metadata:Interviewer","Item Type Metadata:Interviewee","Item Type Metadata:Location","Item Type Metadata:Transcription","Item Type Metadata:Local URL","Item Type Metadata:Original Format","Item Type Metadata:Physical Dimensions","Item Type Metadata:Duration","Item Type Metadata:Compression","Item Type Metadata:Producer","Item Type Metadata:Director","Item Type Metadata:Bit Rate/Frequency","Item Type Metadata:Time Summary","Item Type Metadata:Email Body","Item Type Metadata:Subject Line","Item Type Metadata:From","Item Type Metadata:To","Item Type Metadata:CC","Item Type Metadata:BCC","Item Type Metadata:Number of Attachments","Item Type Metadata:Standards","Item Type Metadata:Objectives","Item Type Metadata:Materials","Item Type Metadata:Lesson Plan Text","Item Type Metadata:URL","Item Type Metadata:Event Type","Item Type Metadata:Participants","Item Type Metadata:Birth Date","Item Type Metadata:Birthplace","Item Type Metadata:Death Date","Item Type Metadata:Occupation","Item Type Metadata:Biographical Text","Item Type Metadata:Bibliography","GeoBlacklight:Layer ID",GeoBlacklight:UUID,GeoBlacklight:Slug,"GeoBlacklight:Geometry Type","GeoBlacklight:Layer Modified Date","GeoBlacklight:Bounding Box",GeoBlacklight:Centroid,"GeoBlacklight:Solr Geometry","GeoBlacklight:Apache Solr Bounding Box","GeoBlacklight:Solr Year","GeoBlacklight:Information Page",GeoBlacklight:Thumbnail,"GeoBlacklight:Download File","GeoBlacklight:Esri Rest Service","GeoBlacklight:Web Map Service","GeoBlacklight:Open Index Map",tags,file,itemType,collection,public,featured
"Philadelphia Streets - Zipcodes Poly",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyStreets_Zipcodes_Poly.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Streets - Zipcodes Poly: Philadephia, Pennsylvania","Planning and Cadastral","Zip code boundaries expressed as a polygon feature class for the City of Philadelphia.Data DevelopmentSeveral data sets and sources were used to create the most accurate representation of the zip code boundaries. Starting with a previous iteration of zip code border data, existing borders were compared to data from the US Census Bureau (Zip Code Tabulation Areas). This data was then reconciled with current Zip code information from the United States Postal Service (the authority on zip codes) to get the most current data possible. Several borders were modified to account for changes or cartographic considerations.Key Attribute Field Names and DescriptionsCODE: Zip code for each polygon.Coordinate SystemLambert Conformal Conic, NAD83, PA South Stateplane coordinates, US Foot.Thematic MappingUse the CODE field for thematic mapping and labeling.Other InformationZip Code Tabulation Areas were developed by the US Census Bureau to overcome difficulties in precisely defining the land area covered by each Zip Code. The ZCTAs are generalized area representation of the USPS Zip code service areas, but are not the same as Zip codes. There is no correlation between ZIP codes and Census Bureau geography. In addition, the USPS frequently realigns, merges or splits ZIP codes to meet changing needs. ZCTAs are constructed by aggregating the Census 2000 blocks whose addresses use a given ZIP code. The census bureau took the ZIP code used by the majority of addresses in each census unit at the time the data was compiled. As a result, some addresses end up with a ZCTA code that is different from their ZIP code.",,,"City of Philadelphia",,,Public,,Files,English,Dataset,220c2285-1feb-4de7-b62d-89b984689aaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220c2285-1feb-4de7-b62d-89b984689aaa,,Vector,,"-74.954039,39.861734,-75.284151,40.143797","40.0027655,-75.119095",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7114,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7114,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Streets - Zipcodes Arc",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyStreets_Zipcodes_Arc.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Streets - Zipcodes Arc: Philadephia, Pennsylvania","Planning and Cadastral","Zip code boundaries expressed as a line feature class for the City of Philadelphia.Data Development:Several data sets and sources were used to create the most accurate representation of the zip code boundaries. Starting with a previous iteration of zip code border data, existing borders were compared to data from the US Census Bureau (Zip Code Tabulation Areas). This data was then reconciled with current Zip code information from the United States Postal Service (the authority on zip codes) to get the most current data possible. Several borders were modified to account for changes or cartographic considerations.Key attribute field names and descriptions:CODE: Zip code for each polygon.Coordinate system:Lambert Conformal Conic, NAD83, PA South Stateplane coordinates, US Foot.Thematic mapping:Use the CODE field for thematic mapping and labeling.Other InformationZip Code Tabulation Areas were developed by the US Census Bureau to overcome difficulties in precisely defining the land area covered by each Zip Code. The ZCTAs are generalized area representation of the USPS Zip code service areas, but are not the same as Zip codes. There is no correlation between ZIP codes and Census Bureau geography. In addition, the USPS frequently realigns, merges or splits ZIP codes to meet changing needs. ZCTAs are constructed by aggregating the Census 2000 blocks whose addresses use a given ZIP code. The census bureau took the ZIP code used by the majority of addresses in each census unit at the time the data was compiled. As a result, some addresses end up with a ZCTA code that is different from their ZIP code.",,,"City of Philadelphia",,,Public,,Files,English,Dataset,6d20f27a-b844-4df4-96b9-c62f7bea97dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d20f27a-b844-4df4-96b9-c62f7bea97dd,,Vector,,"-74.954039,39.861734,-75.284151,40.143797","40.0027655,-75.119095",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7113,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7113,,,,,,Dataset,"08a-01 PASDA",0,0
"Pennsylvania boundaries of exceptional value watersheds",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/paexceptionalvaluewatersheds.xml,"6254927: Pennsylvania (country, state, region,...), Pennsylvania, United States",1996,,,,,,,,"Penn State",,"Boundaries Of Exceptional Value Watersheds: Pennsylvania","Inland Waters","Watersheds of exceptional quality streams","Environmental Resources Research Institute",,"The Pennsylvania State University",,,Public,,Files,English,Dataset,1542d84d-e247-4428-88d2-a130ff9bc808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1542d84d-e247-4428-88d2-a130ff9bc808,,Vector,,"-74.617,39.693,-80.5181,42.234","40.9635,-77.56755",,,1996,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=92,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=92,,,,,,Dataset,"08a-01 PASDA",0,0
"Watersheds for New Jersey clipped to the Delaware River Basin",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/nj_wshed_polygon.xml,"5218573: West Branch Delaware River (stream, lake, ...), Pennsylvania, United States",2004,,,,,,,,"Penn State",,"Watersheds for New Jersey clipped to the Delaware River Basin: Delaware River Basin","Inland Waters","Watersheds for New Jersey coded to 14 digit Hydrologic Unit Codes (HUC) clipped to the Delaware River Basin","Delaware River Basin Commission (DRBC)",,"Delaware River Basin Commission DRBC",,,Public,,Files,English,Dataset,808b169a-e900-4ed0-a7dc-74db8d3613bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808b169a-e900-4ed0-a7dc-74db8d3613bb,,Vector,,"-74.36103,38.929303,-75.574338,41.357669","40.143486,-74.967684",,,2004,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=427,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=427,,,,,,Dataset,"08a-01 PASDA",0,0
"Delaware River Basin Commission watershed boundaries - HUC 8",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/drb_huc8_polygon.xml,"5218573: West Branch Delaware River (stream, lake, ...), Pennsylvania, United States",2004,,,,,,,,"Penn State",,"Delaware River Basin Commission watershed boundaries - HUC 8: Pennsylvania","Inland Waters","watershed boundaries for the Delaware River Basin at the HUC 8 level","Delaware River Basin Commission (DRBC)",,"Delaware River Basin Commission DRBC",,,Public,,Files,English,Dataset,39fd2d38-6c06-4ea1-963c-a92394fbab84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39fd2d38-6c06-4ea1-963c-a92394fbab84,,Vector,,"-74.34991,38.683375,-76.4407,42.463149","40.573262,-75.395305",,,2004,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=419,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=419,,,,,,Dataset,"08a-01 PASDA",0,0
"Delaware River Basin watershed boundaries - HUC 11",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/drb_huc11_polygon.xml,"5218573: West Branch Delaware River (stream, lake, ...), Pennsylvania, United States",2004,,,,,,,,"Penn State",,"Delaware River Basin watershed boundaries - HUC 11: Pennsylvania","Inland Waters","watershed boundaries for the Delaware River Basin at the HUC 11 level","Delaware River Basin Commission (DRBC)",,"Delaware River Basin Commission DRBC",,,Public,,Files,English,Dataset,e34eb315-e301-4634-9bc1-4df126758e61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e34eb315-e301-4634-9bc1-4df126758e61,,Vector,,"-74.34991,38.683168,-76.4407,42.463149","40.5731585,-75.395305",,,2004,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=418,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=418,,,,,,Dataset,"08a-01 PASDA",0,0
"Watershed boundaries for Pennsylvania clipped to the Delaware River Basin",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/pa_wshed_polygon.xml,"5218573: West Branch Delaware River (stream, lake, ...), Pennsylvania, United States",2004,,,,,,,,"Penn State",,"Watershed boundaries for Pennsylvania clipped to the Delaware River Basin: Pennsylvania","Inland Waters","Watershed boundaries for Pennsylvania clipped to the Delaware River Basin","Delaware River Basin Commission (DRBC)",,"Delaware River Basin Commission DRBC",,,Public,,Files,English,Dataset,f1d6e798-953c-4101-aa2a-bf547b050346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1d6e798-953c-4101-aa2a-bf547b050346,,Vector,,"-74.686501,39.715127,-76.430382,42.00112","40.8581235,-75.5584415",,,2004,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=431,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=431,,,,,,Dataset,"08a-01 PASDA",0,0
"Watershed boundaries for New York clipped to the Delaware River Basin",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/ny_wshed_polygon.xml,"5218573: West Branch Delaware River (stream, lake, ...), Pennsylvania, United States",2004,,,,,,,,"Penn State",,"Watershed boundaries for New York clipped to the Delaware River Basin","Inland Waters","Watershed boundaries for New York clipped to the Delaware River Basin","Delaware River Basin Commission (DRBC)",,"Delaware River Basin Commission DRBC",,,Public,,Files,English,Dataset,0dc3c63b-e6a8-4098-91e2-4b6115d81bd2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0dc3c63b-e6a8-4098-91e2-4b6115d81bd2,,Vector,,"-74.352666,41.336663,-75.576274,42.463149","41.899906,-74.96447",,,2004,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=429,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=429,,,,,,Dataset,"08a-01 PASDA",0,0
"Explore PA trails - Water Trails",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/ExplorePAtrails_WaterTrails201703.xml,"6254927: Pennsylvania (country, state, region,...), Pennsylvania, United States",2017,,,,,,,,"Penn State",,"Explore PA trails - Water Trails: Pennsylvania",Recreation,"Water trails designated by the Pennsylvania Fish and Boat Commission in Pennsylvania. Visit http://sites.state.pa.us/PA_Exec/Fish_Boat/watertrails/trailindex.htm for more information.","Pennsylvania Fish and Boat Commission",,"Pennsylvania Department of Conservation and Natural Resources",,,Public,,Files,English,Dataset,0a63c3ab-ca4e-4629-8696-c5b1ce7f181e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a63c3ab-ca4e-4629-8696-c5b1ce7f181e,,Vector,,"-74.68945,39.72085,-80.174015,42.00009","40.86047,-77.4317325",,,2017,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1551,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1551,,,,,,Dataset,"08a-01 PASDA",0,0
"Digital Flood Insurance Rate Map Database, Pennsylvania - various layers clipped to counties",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/FEMA_dfirm_AllPA.xml,"6254927: Pennsylvania (country, state, region,...), Pennsylvania, United States",2005,,,,,,,,"Penn State",,"Digital Flood Insurance Rate Map Database, Pennsylvania - various layers clipped to counties","Inland Waters","various layers clipped to counties - The Digital Flood Insurance Rate Map (DFIRM) Database depicts flood risk information and supporting data used to develop the risk data. The primary risk classifications used are the 1-percent-annual-chance flood event, the 0.2-percent-annual-chance flood event, and areas of minimal flood risk. The DFIRM Database is derived from Flood Insurance Studies (FISs), previously published Flood Insurance Rate Maps (FIRMs), flood hazard analyses performed in support of the FISs and FIRMs, and new mapping data, where available. The FISs and FIRMs are published by the Federal Emergency Management Agency (FEMA). The file is georeferenced to earth's surface using the UTM projection and coordinate system.The specifications for the horizontal control of DFIRM data files are consistent with those required for mapping at a scale of 1:12,000.","Federal Emergency Management Agency",,"Federal Emergency Management Agency",,,Public,,Files,English,Dataset,f5605c1d-4213-4937-9dea-48ed010775a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f5605c1d-4213-4937-9dea-48ed010775a6,,Vector,,"-74.6895019999999,39.7197989999999,-80.5198949999999,42.516072","41.1179355,-77.6046984999999",,,2005,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1160,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1160,,,,,,Dataset,"08a-01 PASDA",0,0
